product	sample	transform	upstream	task_dir
1-1-1.01HCK9dZAMAbMukq-GRtIgDmU.tsv	S25	kraken2	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/e4/96827345ea25007f35b85c9db46770
1-1-1.01HCK9dZAMAbMukq-SHpMEj1q.tsv	S25	kraken2	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/e4/96827345ea25007f35b85c9db46770
1-1-1.01HCK9dZAMAbMukq-cD8zPnH4.parquet	S25	kraken2	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/e4/96827345ea25007f35b85c9db46770
1-1-1.01HCK9dZAMAbMukq-maz6nFbQ.tsv	S25	kraken2	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/e4/96827345ea25007f35b85c9db46770
1-1-1.0VfzvJWdknZPJFgy-RohhQFjN.fq.gz	NTC	interleave_zipped_short_reads		/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/84/3b564b3583346afe13c5e323fac77e
1-1-1.0c6ryb63U9iwcNMQ-8Q3EVkm5.tsv	S24	centrifuger	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/dd/143263b36a6238efeb342ef0398cd7
1-1-1.0c6ryb63U9iwcNMQ-8lecuclo.parquet	S24	centrifuger	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/dd/143263b36a6238efeb342ef0398cd7
1-1-1.0c6ryb63U9iwcNMQ-iP7EX2jM.tsv	S24	centrifuger	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/dd/143263b36a6238efeb342ef0398cd7
1-1-1.0lhx9L7ESzbqwRvO-HAd1j0iE.json	S10	seqkit_reads	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/97/b474af30c9333a9b96eedeff665827
1-1-1.1yhRfb23RzUd4iU5-RohhQFjN.fq.gz	S28	interleave_zipped_short_reads		/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/87/7ebda1db24f16e706fdfd7a5d62953
1-1-1.28fRCa04qtF7fKyR-8Q3EVkm5.tsv	S1	centrifuger	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/39/bf05f81ecf6b4913344ed2079fa3de
1-1-1.28fRCa04qtF7fKyR-8lecuclo.parquet	S1	centrifuger	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/39/bf05f81ecf6b4913344ed2079fa3de
1-1-1.28fRCa04qtF7fKyR-iP7EX2jM.tsv	S1	centrifuger	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/39/bf05f81ecf6b4913344ed2079fa3de
1-1-1.2xIMBGbiOseSxQCD-GRtIgDmU.tsv	S11	kraken2	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/9b/0ef3c85ee17da2cb3e5f00ad0e2210
1-1-1.2xIMBGbiOseSxQCD-SHpMEj1q.tsv	S11	kraken2	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/9b/0ef3c85ee17da2cb3e5f00ad0e2210
1-1-1.2xIMBGbiOseSxQCD-cD8zPnH4.parquet	S11	kraken2	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/9b/0ef3c85ee17da2cb3e5f00ad0e2210
1-1-1.2xIMBGbiOseSxQCD-maz6nFbQ.tsv	S11	kraken2	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/9b/0ef3c85ee17da2cb3e5f00ad0e2210
1-1-1.3KOUweyBl8EbC37i-RohhQFjN.fq.gz	S20	interleave_zipped_short_reads		/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/ab/6c089220c8da1441c47ff142e55575
1-1-1.439bc1teDfM1Xh9n-8Q3EVkm5.tsv	S20	centrifuger	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/c9/c1e5035e4fb0b36eb8626c9145de35
1-1-1.439bc1teDfM1Xh9n-8lecuclo.parquet	S20	centrifuger	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/c9/c1e5035e4fb0b36eb8626c9145de35
1-1-1.439bc1teDfM1Xh9n-iP7EX2jM.tsv	S20	centrifuger	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/c9/c1e5035e4fb0b36eb8626c9145de35
1-1-1.43m4EUl7JcJZxetZ-HAd1j0iE.json	S8	seqkit_reads	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/7e/e7880736bb8474f2796b8bd46fde1e
1-1-1.4B6fy8hZZ8vSXE6B-GRtIgDmU.tsv	S5	kraken2	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/e2/275b136ec71e6247a5266e7c270b7d
1-1-1.4B6fy8hZZ8vSXE6B-SHpMEj1q.tsv	S5	kraken2	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/e2/275b136ec71e6247a5266e7c270b7d
1-1-1.4B6fy8hZZ8vSXE6B-cD8zPnH4.parquet	S5	kraken2	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/e2/275b136ec71e6247a5266e7c270b7d
1-1-1.4B6fy8hZZ8vSXE6B-maz6nFbQ.tsv	S5	kraken2	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/e2/275b136ec71e6247a5266e7c270b7d
1-1-1.4LivI2qF6nQ0g6hi-RohhQFjN.fq.gz	S26	interleave_zipped_short_reads		/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/58/f3a189cf9e3b6b591318ae96df2c6f
1-1-1.4un81LIPOwOfVns4-8Q3EVkm5.tsv	S18	centrifuger	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/2d/89eb2f36586df946a07499960bee49
1-1-1.4un81LIPOwOfVns4-8lecuclo.parquet	S18	centrifuger	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/2d/89eb2f36586df946a07499960bee49
1-1-1.4un81LIPOwOfVns4-iP7EX2jM.tsv	S18	centrifuger	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/2d/89eb2f36586df946a07499960bee49
1-1-1.4xCV6JRU6HkGatYq-GRtIgDmU.tsv	S20	kraken2	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/5e/e464c4e44d774628b39ae9950183bd
1-1-1.4xCV6JRU6HkGatYq-SHpMEj1q.tsv	S20	kraken2	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/5e/e464c4e44d774628b39ae9950183bd
1-1-1.4xCV6JRU6HkGatYq-cD8zPnH4.parquet	S20	kraken2	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/5e/e464c4e44d774628b39ae9950183bd
1-1-1.4xCV6JRU6HkGatYq-maz6nFbQ.tsv	S20	kraken2	interleave_zipped_short_reads	/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/5e/e464c4e44d774628b39ae9950183bd
1-1-1.5L7plJK7KoUHYBrc-RohhQFjN.fq.gz	S11	interleave_zipped_short_reads		/scratch/phyberos/gmcf3495/metasmith/runs/KMQ5eomS/nxf_work/99/27be08644131ee11e29661078c489b
