sample,total_length_bp,N50_bp,num_contigs,GC_pct,fraction_reads_mapped
NTC,1988,248,8,57.14,0.04911
S1,2797887,567,4888,42.65,0.689
S2,40659,434,88,51.28,0.04257
S3,895459,668,1400,46.83,0.78917
S4,38609621,723,58900,44.88,0.86472
S5,8401888,2294,7223,43.78,0.92386
S6,167460436,4557,121141,41.76,0.98467
S7,2072665,1018,2555,45.07,0.80049
S8,4745248,420,10473,44.05,0.33617
S9,706404353,1599,755414,42.56,0.97124
S10,9797162,758,14395,50.44,0.93237
S11,10778110,1897,10656,50.59,0.86211
S12,27697961,1085,36690,45.91,0.90759
S14,198736865,3231,152294,42.81,0.98129
S15,23199187,2168,21170,45.07,0.96704
S16,4174978,3923,3433,40.11,0.86191
S17,1831017,507,3492,40.18,0.42926
S18,7566805,419,17349,42.13,0.337
S19,946587,425,2116,43.13,0.21314
S20,6133824,440,13457,44.1,0.39662
S21,615244,409,1414,42.15,0.21443
S23,16005134,613,26912,42.47,0.77323
S24,24588562,660,38257,39.64,0.59095
S25,1128685392,1162,1280161,39.84,0.9186
S26,68926019,3592,52250,42.77,0.9809
S27,30177379,3365,26123,41.21,0.96994
S28,13620931,3242,10284,42.19,0.99119
S29,143237455,6563,92766,39.95,0.98412
S30,97288772,9663,49054,39.64,0.98785
S31,17552626,3621,14216,42.21,0.98079
S32,20229760,1938,17840,43.73,0.97067
S33,16776310,660,26075,55.72,0.7471
