sample	read_pairs	r2_reads	interleaved_expected	status
S25	734423036	734423036	1468846072	OK
S27	665532558	665532558	1331065116	OK
S9	392510647	392510647	785021294	OK
S29	389091812	389091812	778183624	OK
S14	385213548	385213548	770427096	OK
S30	265594312	265594312	531188624	OK
S6	259715888	259715888	519431776	OK
S13	214507622	214507622	429015244	OK
S28	122877645	122877645	245755290	OK
S15	82854446	82854446	165708892	OK
S26	54652399	54652399	109304798	OK
S31	50096936	50096936	100193872	OK
S32	40030623	40030623	80061246	OK
S4	29009535	29009535	58019070	OK
S12	24336637	24336637	48673274	OK
S24	22031135	22031135	44062270	OK
S10	16841964	16841964	33683928	OK
S18	16082938	16082938	32165876	OK
S11	14887694	14887694	29775388	OK
S33	14803007	14803007	29606014	OK
S8	12417212	12417212	24834424	OK
S5	11635378	11635378	23270756	OK
S23	7364383	7364383	14728766	OK
S16	6946791	6946791	13893582	OK
S20	5663584	5663584	11327168	OK
S1	2587607	2587607	5175214	OK
S17	2511267	2511267	5022534	OK
S22	2343069	2343069	4686138	OK
S19	2025646	2025646	4051292	OK
S7	855714	855714	1711428	OK
S3	853717	853717	1707434	OK
S21	767317	767317	1534634	OK
S2	62871	62871	125742	OK
NTC	448	448	896	OK
