sample_id	src_r1	src_r2	bytes_r1	bytes_r2
S1	GMCF_3495_S1_L7_ds.79258e8f7b36451abf1def28087d5b5f/GMCF_3495_S1_S1_L007_R1_001.fastq.gz	GMCF_3495_S1_L7_ds.79258e8f7b36451abf1def28087d5b5f/GMCF_3495_S1_S1_L007_R2_001.fastq.gz	154275538	150281009
S2	GMCF_3495_S2_L7_ds.50f5d252e4c3488da30b853115747d5e/GMCF_3495_S2_S2_L007_R1_001.fastq.gz	GMCF_3495_S2_L7_ds.50f5d252e4c3488da30b853115747d5e/GMCF_3495_S2_S2_L007_R2_001.fastq.gz	3579410	2659316
S3	GMCF_3495_S3_L7_ds.22ee2280992b4bf38d180deb826f0b23/GMCF_3495_S3_S3_L007_R1_001.fastq.gz	GMCF_3495_S3_L7_ds.22ee2280992b4bf38d180deb826f0b23/GMCF_3495_S3_S3_L007_R2_001.fastq.gz	53947233	52418668
S4	GMCF_3495_S4_L7_ds.1287372bc1a54c55be03a380c6d7177a/GMCF_3495_S4_S4_L007_R1_001.fastq.gz	GMCF_3495_S4_L7_ds.1287372bc1a54c55be03a380c6d7177a/GMCF_3495_S4_S4_L007_R2_001.fastq.gz	1695715190	1808011749
S5	GMCF_3495_S5_L7_ds.347ad694af064c4da6c56c16b8bf94ab/GMCF_3495_S5_S5_L007_R1_001.fastq.gz	GMCF_3495_S5_L7_ds.347ad694af064c4da6c56c16b8bf94ab/GMCF_3495_S5_S5_L007_R2_001.fastq.gz	670144077	675862828
S6	GMCF_3495_S6_L7_ds.681b435946b348758bb0aaaf964ef666/GMCF_3495_S6_S6_L007_R1_001.fastq.gz	GMCF_3495_S6_L7_ds.681b435946b348758bb0aaaf964ef666/GMCF_3495_S6_S6_L007_R2_001.fastq.gz	15431925826	15814685065
S7	GMCF_3495_S7_L7_ds.3811d9e6a3f84f819d6f56e433dbd5f0/GMCF_3495_S7_S7_L007_R1_001.fastq.gz	GMCF_3495_S7_L7_ds.3811d9e6a3f84f819d6f56e433dbd5f0/GMCF_3495_S7_S7_L007_R2_001.fastq.gz	52641479	51991383
S8	GMCF_3495_S8_L7_ds.e973a656a12042fcbbb05de0ca30573b/GMCF_3495_S8_S8_L007_R1_001.fastq.gz	GMCF_3495_S8_L7_ds.e973a656a12042fcbbb05de0ca30573b/GMCF_3495_S8_S8_L007_R2_001.fastq.gz	787574114	764927701
S9	GMCF_3495_S9_L7_ds.15ffce97368045dfbf130e1af41d8d06/GMCF_3495_S9_S9_L007_R1_001.fastq.gz	GMCF_3495_S9_L7_ds.15ffce97368045dfbf130e1af41d8d06/GMCF_3495_S9_S9_L007_R2_001.fastq.gz	23989280461	24692586665
S10	GMCF_3495_S10_L7_ds.1430341434a9413f9c3aaeec537ba7bc/GMCF_3495_S10_S10_L007_R1_001.fastq.gz	GMCF_3495_S10_L7_ds.1430341434a9413f9c3aaeec537ba7bc/GMCF_3495_S10_S10_L007_R2_001.fastq.gz	1034867631	1098493232
S11	GMCF_3495_S11_L7_ds.625f0c4c56164fa2924458fd3d846173/GMCF_3495_S11_S11_L007_R1_001.fastq.gz	GMCF_3495_S11_L7_ds.625f0c4c56164fa2924458fd3d846173/GMCF_3495_S11_S11_L007_R2_001.fastq.gz	961190352	967087180
S12	GMCF_3495_S12_L7_ds.f4b43bfa9a8847b5a29f8d28d495c664/GMCF_3495_S12_S12_L007_R1_001.fastq.gz	GMCF_3495_S12_L7_ds.f4b43bfa9a8847b5a29f8d28d495c664/GMCF_3495_S12_S12_L007_R2_001.fastq.gz	1552498279	1576912284
