lane	config	condition	n_fired	n_correct	precision	recall	f1	coverage	mnxr_macro_precision	mnxr_macro_recall	mnxr_macro_f1	n_calls	calls_per_speaking_orf
pbert	as shipped: misaligned landmarks, top-30, floor 0.20	pool	1156.0	5.0	0.0043	0.0039	0.0041	0.8975	0.0038	0.001	0.0016	2250.0	1.907
pbert	as shipped: misaligned landmarks, top-30, floor 0.20	self	1156.0	5.0	0.0043	0.0039	0.0041	0.8975	0.0038	0.001	0.0016	2251.0	1.908
pbert	as shipped: misaligned landmarks, top-30, floor 0.20	twin	1158.0	5.0	0.0043	0.0039	0.0041	0.8991	0.0042	0.001	0.0016	2116.0	1.789
pbert	landmarks repaired only: top-30, floor 0.20	pool	1226.0	871.0	0.7104	0.6762	0.6929	0.9519	0.6093	0.2371	0.3414	2156.0	1.737
pbert	landmarks repaired only: top-30, floor 0.20	self	1226.0	840.0	0.6852	0.6522	0.6683	0.9519	0.5938	0.2295	0.3311	2138.0	1.723
pbert	landmarks repaired only: top-30, floor 0.20	twin	1219.0	799.0	0.6555	0.6203	0.6374	0.9464	0.5655	0.2172	0.3139	2140.0	1.733
pbert	repaired + quota (SHIPPED): nn_min 0.7, tau 0.95, k_max 30, floor 0.0	pool	1130.0	1086.0	0.9611	0.8432	0.8983	0.8773	0.9075	0.3084	0.4603	1868.0	1.646
pbert	repaired + quota (SHIPPED): nn_min 0.7, tau 0.95, k_max 30, floor 0.0	self	1106.0	1018.0	0.9204	0.7904	0.8505	0.8587	0.855	0.2799	0.4217	2190.0	1.971
pbert	repaired + quota (SHIPPED): nn_min 0.7, tau 0.95, k_max 30, floor 0.0	twin	1094.0	983.0	0.8985	0.7632	0.8254	0.8494	0.805	0.2693	0.4036	2392.0	2.177
clean	as shipped: no abstention	n/a	1284.0	1180.0	0.919	0.9161	0.9176	0.9969				1367.0	
clean	abstain below 0.02	n/a	1224.0	1168.0	0.9542	0.9068	0.9299	0.9503				1296.0	
