threshold	n_calls	n_adjudicable	n_fired	n_correct	precision	recall	f1	coverage	ec_macro_precision	ec_macro_recall	ec_macro_f1	ec_mean_pred_size
0.0	1367	1288	1284	1180	0.919	0.9161	0.9176	0.9969	0.9075	0.8901	0.8987	1.065
0.001	1320	1288	1246	1174	0.9422	0.9115	0.9266	0.9674	0.9311	0.8854	0.9077	1.059
0.005	1307	1288	1234	1172	0.9498	0.9099	0.9294	0.9581	0.9385	0.8843	0.9106	1.059
0.01	1302	1288	1230	1170	0.9512	0.9084	0.9293	0.955	0.9404	0.8827	0.9106	1.059
0.02	1296	1288	1224	1168	0.9542	0.9068	0.9299	0.9503	0.9434	0.8811	0.9112	1.059
0.05	1286	1288	1215	1162	0.9564	0.9022	0.9285	0.9433	0.9458	0.8765	0.9098	1.058
0.1	1273	1288	1202	1154	0.9601	0.896	0.9269	0.9332	0.9494	0.8703	0.9081	1.059
0.15	1264	1288	1195	1149	0.9615	0.8921	0.9255	0.9278	0.9516	0.8672	0.9074	1.058
0.2	1257	1288	1188	1144	0.963	0.8882	0.9241	0.9224	0.953	0.8633	0.9059	1.058
0.3	1248	1288	1181	1141	0.9661	0.8859	0.9243	0.9169	0.9567	0.861	0.9063	1.057
0.4	1241	1288	1175	1137	0.9677	0.8828	0.9233	0.9123	0.9586	0.8579	0.9054	1.056
0.5	1227	1288	1161	1128	0.9716	0.8758	0.9212	0.9014	0.9624	0.8509	0.9032	1.057
0.6	1212	1288	1147	1120	0.9765	0.8696	0.9199	0.8905	0.9676	0.8447	0.902	1.057
0.7	1197	1288	1134	1109	0.978	0.861	0.9158	0.8804	0.9694	0.8357	0.8976	1.056
0.8	1175	1288	1113	1088	0.9775	0.8447	0.9063	0.8641	0.9693	0.8194	0.8881	1.056
0.9	1124	1288	1068	1043	0.9766	0.8098	0.8854	0.8292	0.9708	0.7853	0.8682	1.052
0.95	1073	1288	1021	1001	0.9804	0.7772	0.867	0.7927	0.9754	0.7531	0.8499	1.051
0.99	907	1288	866	852	0.9838	0.6615	0.7911	0.6724	0.9819	0.643	0.7771	1.047
0.999	0	1288	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
