metric	condition	pool	n_query	median_nn	n_adjudicable	n_fired	n_correct	precision	recall	f1	coverage	mnxr_macro_precision	mnxr_macro_recall	mnxr_macro_f1	mnxr_mean_pred_size	any_mnxr_hit
cosine	pool	repaired	1288	1.0	1288	1225	859	0.7012	0.6669	0.6836	0.9511	0.6006	0.2342	0.3369	1.779	0.6669
cosine	self	repaired	1288	1.0	1288	1225	830	0.6776	0.6444	0.6606	0.9511	0.5861	0.2263	0.3265	1.76	0.6444
cosine	twin	repaired	1288	1.0	1288	1217	792	0.6508	0.6149	0.6323	0.9449	0.5598	0.215	0.3107	1.773	0.6149
dot	pool	repaired	1288	19.3519	1288	1244	847	0.6809	0.6576	0.669	0.9658	0.5727	0.2306	0.3288	1.807	0.6576
dot	self	repaired	1288	19.3519	1288	1245	817	0.6562	0.6343	0.6451	0.9666	0.5542	0.2239	0.319	1.817	0.6343
dot	twin	repaired	1288	19.3519	1288	1241	775	0.6245	0.6017	0.6129	0.9635	0.5219	0.2107	0.3002	1.842	0.6017
euclidean	pool	repaired	1288	18.6781	1288	1207	864	0.7158	0.6708	0.6926	0.9371	0.6174	0.2351	0.3406	1.728	0.6708
euclidean	self	repaired	1288	18.6781	1288	1209	831	0.6873	0.6452	0.6656	0.9387	0.5985	0.2255	0.3276	1.709	0.6452
euclidean	twin	repaired	1288	18.6781	1288	1202	790	0.6572	0.6134	0.6345	0.9332	0.5699	0.2137	0.3109	1.706	0.6134
correlation	pool	repaired	1288	1.0	1288	1225	859	0.7012	0.6669	0.6836	0.9511	0.6006	0.2342	0.3369	1.779	0.6669
correlation	self	repaired	1288	1.0	1288	1226	830	0.677	0.6444	0.6603	0.9519	0.5858	0.2263	0.3265	1.76	0.6444
correlation	twin	repaired	1288	1.0	1288	1218	793	0.6511	0.6157	0.6329	0.9457	0.5597	0.2153	0.3109	1.786	0.6157
zscore	pool	repaired	1288	1.0	1288	1228	861	0.7011	0.6685	0.6844	0.9534	0.6024	0.2348	0.3379	1.783	0.6685
zscore	self	repaired	1288	1.0	1288	1224	832	0.6797	0.646	0.6624	0.9503	0.587	0.2271	0.3275	1.767	0.646
zscore	twin	repaired	1288	1.0	1288	1220	791	0.6484	0.6141	0.6308	0.9472	0.5595	0.2149	0.3106	1.767	0.6141
whiten	pool	repaired	1288	1.0	1288	1216	868	0.7138	0.6739	0.6933	0.9441	0.6156	0.2374	0.3426	1.72	0.6739
whiten	self	repaired	1288	1.0	1288	1217	835	0.6861	0.6483	0.6667	0.9449	0.5982	0.2289	0.3311	1.7	0.6483
whiten	twin	repaired	1288	1.0	1288	1211	797	0.6581	0.6188	0.6379	0.9402	0.5703	0.2181	0.3155	1.728	0.6188
l1	pool	repaired	200	-0.0002	200	192	139	0.724	0.695	0.7092	0.96	0.632	0.2489	0.3571	1.803	0.695
l1	self	repaired	200	-0.0002	200	192	137	0.7135	0.685	0.699	0.96	0.6239	0.2457	0.3525	1.793	0.685
l1	twin	repaired	200	-0.0002	200	193	131	0.6788	0.655	0.6667	0.965	0.6008	0.2325	0.3352	1.794	0.655
