metric	condition	n_query	n_adjudicable	n_fired	n_correct	precision	recall	f1	coverage	mnxr_macro_precision	mnxr_macro_recall	mnxr_macro_f1	mnxr_mean_pred_size
cosine	pool	200	200	194	138	0.7113	0.69	0.7005	0.97	0.6219	0.2475	0.3541	1.836
cosine	self	200	200	194	135	0.6959	0.675	0.6853	0.97	0.6129	0.2393	0.3442	1.815
cosine	twin	200	200	193	131	0.6788	0.655	0.6667	0.965	0.5903	0.2311	0.3322	1.856
dot	pool	200	200	194	137	0.7062	0.685	0.6954	0.97	0.6039	0.2412	0.3447	1.843
dot	self	200	200	194	135	0.6959	0.675	0.6853	0.97	0.5916	0.2388	0.3402	1.848
dot	twin	200	200	192	130	0.6771	0.65	0.6633	0.96	0.5663	0.2256	0.3227	1.857
euclidean	pool	200	200	191	137	0.7173	0.685	0.7008	0.955	0.6265	0.2472	0.3545	1.772
euclidean	self	200	200	192	134	0.6979	0.67	0.6837	0.96	0.615	0.239	0.3442	1.747
euclidean	twin	200	200	192	130	0.6771	0.65	0.6633	0.96	0.5951	0.2308	0.3326	1.768
correlation	pool	200	200	194	138	0.7113	0.69	0.7005	0.97	0.6219	0.2475	0.3541	1.836
correlation	self	200	200	194	135	0.6959	0.675	0.6853	0.97	0.6129	0.2393	0.3442	1.815
correlation	twin	200	200	193	131	0.6788	0.655	0.6667	0.965	0.5903	0.2311	0.3322	1.856
zscore	pool	200	200	193	139	0.7202	0.695	0.7074	0.965	0.6234	0.2492	0.356	1.8
zscore	self	200	200	193	136	0.7047	0.68	0.6921	0.965	0.6161	0.2409	0.3464	1.785
zscore	twin	200	200	193	132	0.6839	0.66	0.6718	0.965	0.5939	0.2328	0.3345	1.805
whiten	pool	200	200	191	138	0.7225	0.69	0.7059	0.955	0.641	0.2491	0.3588	1.792
whiten	self	200	200	190	136	0.7158	0.68	0.6974	0.95	0.636	0.2459	0.3547	1.785
whiten	twin	200	200	191	131	0.6859	0.655	0.6701	0.955	0.6069	0.2327	0.3364	1.802
l1	pool	200	200	192	139	0.724	0.695	0.7092	0.96	0.632	0.2489	0.3571	1.803
l1	self	200	200	192	137	0.7135	0.685	0.699	0.96	0.6239	0.2457	0.3525	1.793
l1	twin	200	200	193	131	0.6788	0.655	0.6667	0.965	0.6008	0.2325	0.3352	1.794
