metric	condition	vote	pool	n_query	n_calls	calls_per_speaking_orf	n_abstained	median_nn	n_adjudicable	n_fired	n_correct	precision	recall	f1	coverage	mnxr_macro_precision	mnxr_macro_recall	mnxr_macro_f1	mnxr_mean_pred_size	any_mnxr_hit
cosine	pool	pre-quota	shipped	1288	2250	1.907	0	1.0	1288	1156	5	0.0043	0.0039	0.0041	0.8975	0.0038	0.001	0.0016	1.907	0.0039
cosine	self	pre-quota	shipped	1288	2251	1.908	0	1.0	1288	1156	5	0.0043	0.0039	0.0041	0.8975	0.0038	0.001	0.0016	1.908	0.0039
cosine	twin	pre-quota	shipped	1288	2116	1.789	0	1.0	1288	1158	5	0.0043	0.0039	0.0041	0.8991	0.0042	0.001	0.0016	1.789	0.0039
dot	pool	pre-quota	shipped	1288	2266	1.882	0	19.4617	1288	1180	5	0.0042	0.0039	0.0041	0.9161	0.0035	0.001	0.0015	1.882	0.0039
dot	self	pre-quota	shipped	1288	2266	1.882	0	19.4617	1288	1180	5	0.0042	0.0039	0.0041	0.9161	0.0035	0.001	0.0015	1.882	0.0039
dot	twin	pre-quota	shipped	1288	2233	1.847	0	19.4617	1288	1190	6	0.005	0.0047	0.0048	0.9239	0.0043	0.001	0.0016	1.847	0.0047
euclidean	pool	pre-quota	shipped	1288	2164	1.858	0	18.9399	1288	1138	5	0.0044	0.0039	0.0041	0.8835	0.0043	0.0014	0.0021	1.858	0.0039
euclidean	self	pre-quota	shipped	1288	2164	1.858	0	18.9399	1288	1138	5	0.0044	0.0039	0.0041	0.8835	0.0043	0.0014	0.0021	1.858	0.0039
euclidean	twin	pre-quota	shipped	1288	2026	1.756	0	18.9399	1288	1129	6	0.0053	0.0047	0.005	0.8766	0.0052	0.0014	0.0022	1.756	0.0047
correlation	pool	pre-quota	shipped	1288	2237	1.896	0	1.0	1288	1156	5	0.0043	0.0039	0.0041	0.8975	0.0038	0.001	0.0016	1.896	0.0039
correlation	self	pre-quota	shipped	1288	2237	1.896	0	1.0	1288	1156	5	0.0043	0.0039	0.0041	0.8975	0.0038	0.001	0.0016	1.896	0.0039
correlation	twin	pre-quota	shipped	1288	2106	1.782	0	1.0	1288	1157	5	0.0043	0.0039	0.0041	0.8983	0.0042	0.001	0.0016	1.782	0.0039
zscore	pool	pre-quota	shipped	1288	2257	1.89	0	1.0	1288	1170	5	0.0043	0.0039	0.0041	0.9084	0.0038	0.001	0.0016	1.89	0.0039
zscore	self	pre-quota	shipped	1288	2259	1.89	0	1.0	1288	1171	5	0.0043	0.0039	0.0041	0.9092	0.0038	0.001	0.0016	1.89	0.0039
zscore	twin	pre-quota	shipped	1288	2140	1.798	0	1.0	1288	1166	5	0.0043	0.0039	0.0041	0.9053	0.0042	0.001	0.0016	1.798	0.0039
whiten	pool	pre-quota	shipped	1288	2161	1.831	0	1.0	1288	1156	5	0.0043	0.0039	0.0041	0.8975	0.0037	0.0011	0.0017	1.831	0.0039
whiten	self	pre-quota	shipped	1288	2161	1.831	0	1.0	1288	1156	4	0.0035	0.0031	0.0033	0.8975	0.0034	0.001	0.0015	1.831	0.0031
whiten	twin	pre-quota	shipped	1288	2052	1.742	0	1.0	1288	1154	5	0.0043	0.0039	0.0041	0.896	0.0042	0.001	0.0016	1.742	0.0039
