metric	condition	nn_quantile	nn_threshold	floor	n_adjudicable	n_fired	n_correct	precision	recall	f1	coverage	mnxr_macro_precision	mnxr_macro_recall	mnxr_macro_f1	mnxr_mean_pred_size
correlation	pool	0.0	0.43	0.0	1288	1286	1074	0.8351	0.8339	0.8345	0.9984	0.4833	0.3142	0.3808	7.341
correlation	pool	0.0	0.43	0.05	1288	1283	1038	0.809	0.8059	0.8075	0.9961	0.5341	0.291	0.3768	4.161
correlation	pool	0.0	0.43	0.1	1288	1281	980	0.765	0.7609	0.7629	0.9946	0.5719	0.2693	0.3662	2.725
correlation	pool	0.0	0.43	0.15	1288	1264	905	0.716	0.7026	0.7092	0.9814	0.5777	0.2494	0.3484	2.111
correlation	pool	0.0	0.43	0.2	1288	1225	859	0.7012	0.6669	0.6836	0.9511	0.6006	0.2342	0.3369	1.779
correlation	pool	0.0	0.43	0.25	1288	1188	818	0.6886	0.6351	0.6607	0.9224	0.6097	0.2224	0.3259	1.575
correlation	pool	0.0	0.43	0.3	1288	1131	789	0.6976	0.6126	0.6523	0.8781	0.6391	0.2127	0.3192	1.462
correlation	pool	0.0	0.43	0.35	1288	1091	766	0.7021	0.5947	0.644	0.847	0.6566	0.2081	0.316	1.388
correlation	pool	0.0	0.43	0.4	1288	1050	752	0.7162	0.5839	0.6433	0.8152	0.6793	0.2047	0.3146	1.331
correlation	pool	0.0	0.43	0.45	1288	1008	733	0.7272	0.5691	0.6385	0.7826	0.6973	0.1995	0.3102	1.3
correlation	pool	0.0	0.43	0.5	1288	950	712	0.7495	0.5528	0.6363	0.7376	0.7222	0.1895	0.3003	1.3
correlation	pool	0.0	0.43	0.55	1288	898	695	0.7739	0.5396	0.6359	0.6972	0.7484	0.1858	0.2977	1.289
correlation	pool	0.0	0.43	0.6	1288	863	674	0.781	0.5233	0.6267	0.67	0.7598	0.1808	0.2921	1.289
correlation	pool	0.0	0.43	0.65	1288	819	658	0.8034	0.5109	0.6246	0.6359	0.7809	0.1778	0.2897	1.292
correlation	pool	0.0	0.43	0.7	1288	773	637	0.8241	0.4946	0.6181	0.6002	0.801	0.1718	0.2829	1.271
correlation	pool	0.0	0.43	0.75	1288	736	623	0.8465	0.4837	0.6156	0.5714	0.8267	0.1684	0.2798	1.27
correlation	pool	0.0	0.43	0.8	1288	705	608	0.8624	0.472	0.6101	0.5474	0.8452	0.1637	0.2742	1.257
correlation	pool	0.0	0.43	0.85	1288	668	594	0.8892	0.4612	0.6074	0.5186	0.873	0.1604	0.271	1.255
correlation	pool	0.0	0.43	0.9	1288	626	573	0.9153	0.4449	0.5987	0.486	0.8989	0.1551	0.2646	1.243
correlation	pool	0.05	0.5691	0.0	1288	1222	1072	0.8773	0.8323	0.8542	0.9488	0.5081	0.3136	0.3878	7.333
correlation	pool	0.05	0.5691	0.05	1288	1220	1037	0.85	0.8051	0.827	0.9472	0.5621	0.2906	0.3832	4.156
correlation	pool	0.05	0.5691	0.1	1288	1218	979	0.8038	0.7601	0.7813	0.9457	0.6019	0.2689	0.3717	2.717
correlation	pool	0.05	0.5691	0.15	1288	1205	904	0.7502	0.7019	0.7252	0.9356	0.6077	0.2491	0.3533	2.095
correlation	pool	0.05	0.5691	0.2	1288	1169	858	0.734	0.6661	0.6984	0.9076	0.6312	0.2338	0.3412	1.754
correlation	pool	0.05	0.5691	0.25	1288	1135	818	0.7207	0.6351	0.6752	0.8812	0.6409	0.2224	0.3302	1.564
correlation	pool	0.05	0.5691	0.3	1288	1081	789	0.7299	0.6126	0.6661	0.8393	0.6718	0.2127	0.3231	1.454
correlation	pool	0.05	0.5691	0.35	1288	1043	766	0.7344	0.5947	0.6572	0.8098	0.6908	0.2081	0.3198	1.383
correlation	pool	0.05	0.5691	0.4	1288	1004	752	0.749	0.5839	0.6562	0.7795	0.7148	0.2047	0.3183	1.336
correlation	pool	0.05	0.5691	0.45	1288	965	733	0.7596	0.5691	0.6507	0.7492	0.7331	0.1995	0.3136	1.305
correlation	pool	0.05	0.5691	0.5	1288	911	712	0.7816	0.5528	0.6476	0.7073	0.7575	0.1895	0.3032	1.307
correlation	pool	0.05	0.5691	0.55	1288	863	695	0.8053	0.5396	0.6462	0.67	0.7828	0.1858	0.3003	1.297
correlation	pool	0.05	0.5691	0.6	1288	828	674	0.814	0.5233	0.6371	0.6429	0.7935	0.1808	0.2945	1.296
correlation	pool	0.05	0.5691	0.65	1288	785	658	0.8382	0.5109	0.6348	0.6095	0.8164	0.1778	0.2921	1.299
correlation	pool	0.05	0.5691	0.7	1288	742	637	0.8585	0.4946	0.6276	0.5761	0.8363	0.1718	0.285	1.279
correlation	pool	0.05	0.5691	0.75	1288	709	623	0.8787	0.4837	0.6239	0.5505	0.8592	0.1684	0.2816	1.278
correlation	pool	0.05	0.5691	0.8	1288	681	608	0.8928	0.472	0.6176	0.5287	0.8761	0.1637	0.2758	1.263
correlation	pool	0.05	0.5691	0.85	1288	648	594	0.9167	0.4612	0.6136	0.5031	0.9012	0.1604	0.2723	1.26
correlation	pool	0.05	0.5691	0.9	1288	612	573	0.9363	0.4449	0.6032	0.4752	0.9209	0.1551	0.2655	1.246
correlation	pool	0.1	0.6401	0.0	1288	1158	1071	0.9249	0.8315	0.8757	0.8991	0.5359	0.3132	0.3953	7.161
correlation	pool	0.1	0.6401	0.05	1288	1157	1036	0.8954	0.8043	0.8474	0.8983	0.5927	0.2902	0.3897	4.104
correlation	pool	0.1	0.6401	0.1	1288	1155	978	0.8468	0.7593	0.8007	0.8967	0.6347	0.2685	0.3774	2.676
correlation	pool	0.1	0.6401	0.15	1288	1142	903	0.7907	0.7011	0.7432	0.8866	0.6411	0.2487	0.3583	2.081
correlation	pool	0.1	0.6401	0.2	1288	1112	857	0.7707	0.6654	0.7142	0.8634	0.6634	0.2334	0.3453	1.726
correlation	pool	0.1	0.6401	0.25	1288	1080	817	0.7565	0.6343	0.69	0.8385	0.6732	0.222	0.3339	1.546
correlation	pool	0.1	0.6401	0.3	1288	1031	788	0.7643	0.6118	0.6796	0.8005	0.7041	0.2123	0.3263	1.447
correlation	pool	0.1	0.6401	0.35	1288	993	765	0.7704	0.5939	0.6708	0.771	0.7255	0.2077	0.3229	1.375
correlation	pool	0.1	0.6401	0.4	1288	956	751	0.7856	0.5831	0.6693	0.7422	0.75	0.2043	0.3212	1.333
correlation	pool	0.1	0.6401	0.45	1288	923	732	0.7931	0.5683	0.6621	0.7166	0.7659	0.1991	0.316	1.307
correlation	pool	0.1	0.6401	0.5	1288	872	711	0.8154	0.552	0.6583	0.677	0.7907	0.1891	0.3053	1.311
correlation	pool	0.1	0.6401	0.55	1288	830	694	0.8361	0.5388	0.6553	0.6444	0.8133	0.1854	0.3019	1.298
correlation	pool	0.1	0.6401	0.6	1288	796	673	0.8455	0.5225	0.6459	0.618	0.8249	0.1804	0.296	1.298
correlation	pool	0.1	0.6401	0.65	1288	757	658	0.8692	0.5109	0.6435	0.5877	0.8474	0.1778	0.294	1.3
correlation	pool	0.1	0.6401	0.7	1288	714	637	0.8922	0.4946	0.6364	0.5543	0.8701	0.1718	0.2869	1.285
correlation	pool	0.1	0.6401	0.75	1288	686	623	0.9082	0.4837	0.6312	0.5326	0.8891	0.1684	0.2831	1.283
correlation	pool	0.1	0.6401	0.8	1288	658	608	0.924	0.472	0.6249	0.5109	0.9066	0.1637	0.2773	1.271
correlation	pool	0.1	0.6401	0.85	1288	628	594	0.9459	0.4612	0.62	0.4876	0.9298	0.1604	0.2736	1.267
correlation	pool	0.1	0.6401	0.9	1288	596	573	0.9614	0.4449	0.6083	0.4627	0.9455	0.1551	0.2665	1.251
correlation	pool	0.15	0.7711	0.0	1288	1094	1064	0.9726	0.8261	0.8934	0.8494	0.566	0.3117	0.402	6.859
correlation	pool	0.15	0.7711	0.05	1288	1093	1029	0.9414	0.7989	0.8643	0.8486	0.6257	0.2888	0.3952	3.963
correlation	pool	0.15	0.7711	0.1	1288	1091	972	0.8909	0.7547	0.8172	0.847	0.6701	0.2671	0.3819	2.591
correlation	pool	0.15	0.7711	0.15	1288	1079	898	0.8323	0.6972	0.7588	0.8377	0.6769	0.2481	0.3631	2.052
correlation	pool	0.15	0.7711	0.2	1288	1052	853	0.8108	0.6623	0.7291	0.8168	0.701	0.2328	0.3496	1.718
correlation	pool	0.15	0.7711	0.25	1288	1023	813	0.7947	0.6312	0.7036	0.7943	0.7097	0.2215	0.3376	1.534
correlation	pool	0.15	0.7711	0.3	1288	978	785	0.8027	0.6095	0.6929	0.7593	0.7417	0.2119	0.3296	1.441
correlation	pool	0.15	0.7711	0.35	1288	941	762	0.8098	0.5916	0.6837	0.7306	0.7643	0.2073	0.3261	1.367
correlation	pool	0.15	0.7711	0.4	1288	910	748	0.822	0.5807	0.6806	0.7065	0.7867	0.2039	0.3239	1.324
correlation	pool	0.15	0.7711	0.45	1288	879	729	0.8294	0.566	0.6728	0.6825	0.803	0.1987	0.3185	1.299
correlation	pool	0.15	0.7711	0.5	1288	830	708	0.853	0.5497	0.6686	0.6444	0.8295	0.1887	0.3075	1.303
correlation	pool	0.15	0.7711	0.55	1288	791	691	0.8736	0.5365	0.6647	0.6141	0.8523	0.185	0.304	1.289
correlation	pool	0.15	0.7711	0.6	1288	758	670	0.8839	0.5202	0.6549	0.5885	0.8652	0.18	0.298	1.291
correlation	pool	0.15	0.7711	0.65	1288	724	655	0.9047	0.5085	0.6511	0.5621	0.885	0.1774	0.2956	1.294
correlation	pool	0.15	0.7711	0.7	1288	685	634	0.9255	0.4922	0.6427	0.5318	0.9059	0.1714	0.2882	1.282
correlation	pool	0.15	0.7711	0.75	1288	661	620	0.938	0.4814	0.6362	0.5132	0.9204	0.168	0.2841	1.279
correlation	pool	0.15	0.7711	0.8	1288	634	605	0.9543	0.4697	0.6296	0.4922	0.9385	0.1632	0.2781	1.266
correlation	pool	0.15	0.7711	0.85	1288	608	592	0.9737	0.4596	0.6245	0.472	0.9581	0.1602	0.2744	1.266
correlation	pool	0.15	0.7711	0.9	1288	580	572	0.9862	0.4441	0.6124	0.4503	0.9709	0.155	0.2673	1.247
correlation	pool	0.2	1.0	0.0	1288	1043	1039	0.9962	0.8067	0.8915	0.8098	0.5872	0.307	0.4032	6.754
correlation	pool	0.2	1.0	0.05	1288	1042	1008	0.9674	0.7826	0.8652	0.809	0.6489	0.2855	0.3965	3.907
correlation	pool	0.2	1.0	0.1	1288	1041	954	0.9164	0.7407	0.8192	0.8082	0.6953	0.2642	0.3829	2.554
correlation	pool	0.2	1.0	0.15	1288	1030	882	0.8563	0.6848	0.761	0.7997	0.7022	0.2455	0.3638	2.028
correlation	pool	0.2	1.0	0.2	1288	1003	839	0.8365	0.6514	0.7324	0.7787	0.7275	0.2303	0.3498	1.698
correlation	pool	0.2	1.0	0.25	1288	980	800	0.8163	0.6211	0.7055	0.7609	0.7353	0.2197	0.3383	1.515
correlation	pool	0.2	1.0	0.3	1288	939	772	0.8222	0.5994	0.6933	0.729	0.7664	0.2101	0.3298	1.422
correlation	pool	0.2	1.0	0.35	1288	903	749	0.8295	0.5815	0.6837	0.7011	0.7879	0.2055	0.3259	1.355
correlation	pool	0.2	1.0	0.4	1288	873	735	0.8419	0.5707	0.6802	0.6778	0.8101	0.2021	0.3235	1.314
correlation	pool	0.2	1.0	0.45	1288	844	718	0.8507	0.5575	0.6735	0.6553	0.8286	0.197	0.3183	1.288
correlation	pool	0.2	1.0	0.5	1288	799	697	0.8723	0.5411	0.6679	0.6203	0.8536	0.187	0.3068	1.291
correlation	pool	0.2	1.0	0.55	1288	765	680	0.8889	0.528	0.6624	0.5939	0.8721	0.1833	0.3029	1.288
correlation	pool	0.2	1.0	0.6	1288	737	662	0.8982	0.514	0.6538	0.5722	0.8822	0.1788	0.2974	1.288
correlation	pool	0.2	1.0	0.65	1288	705	648	0.9191	0.5031	0.6503	0.5474	0.9023	0.1765	0.2952	1.29
correlation	pool	0.2	1.0	0.7	1288	671	629	0.9374	0.4884	0.6422	0.521	0.921	0.1708	0.2881	1.283
correlation	pool	0.2	1.0	0.75	1288	647	615	0.9505	0.4775	0.6357	0.5023	0.9351	0.1674	0.2839	1.279
correlation	pool	0.2	1.0	0.8	1288	621	600	0.9662	0.4658	0.6286	0.4821	0.9527	0.1627	0.2779	1.265
correlation	pool	0.2	1.0	0.85	1288	598	588	0.9833	0.4565	0.6235	0.4643	0.9701	0.1596	0.2742	1.265
correlation	pool	0.2	1.0	0.9	1288	571	568	0.9947	0.441	0.6111	0.4433	0.9821	0.1545	0.267	1.247
correlation	pool	0.25	1.0	0.0	1288	970	966	0.9959	0.75	0.8556	0.7531	0.5893	0.2865	0.3855	6.689
correlation	pool	0.25	1.0	0.05	1288	969	938	0.968	0.7283	0.8312	0.7523	0.6516	0.2659	0.3777	3.845
correlation	pool	0.25	1.0	0.1	1288	968	891	0.9205	0.6918	0.7899	0.7516	0.6976	0.2472	0.365	2.525
correlation	pool	0.25	1.0	0.15	1288	957	822	0.8589	0.6382	0.7323	0.743	0.7046	0.23	0.3468	2.003
correlation	pool	0.25	1.0	0.2	1288	932	780	0.8369	0.6056	0.7027	0.7236	0.7303	0.2161	0.3335	1.663
correlation	pool	0.25	1.0	0.25	1288	909	742	0.8163	0.5761	0.6755	0.7057	0.7364	0.2058	0.3216	1.502
correlation	pool	0.25	1.0	0.3	1288	872	716	0.8211	0.5559	0.663	0.677	0.7657	0.1967	0.3129	1.416
correlation	pool	0.25	1.0	0.35	1288	837	694	0.8292	0.5388	0.6532	0.6498	0.7877	0.1923	0.3091	1.351
correlation	pool	0.25	1.0	0.4	1288	812	683	0.8411	0.5303	0.6505	0.6304	0.8092	0.1894	0.3069	1.311
correlation	pool	0.25	1.0	0.45	1288	783	667	0.8519	0.5179	0.6441	0.6079	0.8286	0.1843	0.3015	1.29
correlation	pool	0.25	1.0	0.5	1288	743	647	0.8708	0.5023	0.6371	0.5769	0.8514	0.1745	0.2897	1.291
correlation	pool	0.25	1.0	0.55	1288	713	633	0.8878	0.4915	0.6327	0.5536	0.8705	0.1713	0.2862	1.288
correlation	pool	0.25	1.0	0.6	1288	686	616	0.898	0.4783	0.6241	0.5326	0.8814	0.1673	0.2813	1.289
correlation	pool	0.25	1.0	0.65	1288	658	604	0.9179	0.4689	0.6208	0.5109	0.9006	0.1654	0.2795	1.289
correlation	pool	0.25	1.0	0.7	1288	626	586	0.9361	0.455	0.6123	0.486	0.9193	0.1601	0.2728	1.281
correlation	pool	0.25	1.0	0.75	1288	605	575	0.9504	0.4464	0.6075	0.4697	0.9347	0.1574	0.2695	1.277
correlation	pool	0.25	1.0	0.8	1288	580	561	0.9672	0.4356	0.6006	0.4503	0.9537	0.1527	0.2633	1.262
correlation	pool	0.25	1.0	0.85	1288	558	549	0.9839	0.4262	0.5948	0.4332	0.9706	0.1497	0.2594	1.261
correlation	pool	0.25	1.0	0.9	1288	534	531	0.9944	0.4123	0.5829	0.4146	0.9818	0.1447	0.2522	1.239
correlation	pool	0.3	1.0	0.0	1288	970	966	0.9959	0.75	0.8556	0.7531	0.5893	0.2865	0.3855	6.689
correlation	pool	0.3	1.0	0.05	1288	969	938	0.968	0.7283	0.8312	0.7523	0.6516	0.2659	0.3777	3.845
correlation	pool	0.3	1.0	0.1	1288	968	891	0.9205	0.6918	0.7899	0.7516	0.6976	0.2472	0.365	2.525
correlation	pool	0.3	1.0	0.15	1288	957	822	0.8589	0.6382	0.7323	0.743	0.7046	0.23	0.3468	2.003
correlation	pool	0.3	1.0	0.2	1288	932	780	0.8369	0.6056	0.7027	0.7236	0.7303	0.2161	0.3335	1.663
correlation	pool	0.3	1.0	0.25	1288	909	742	0.8163	0.5761	0.6755	0.7057	0.7364	0.2058	0.3216	1.502
correlation	pool	0.3	1.0	0.3	1288	872	716	0.8211	0.5559	0.663	0.677	0.7657	0.1967	0.3129	1.416
correlation	pool	0.3	1.0	0.35	1288	837	694	0.8292	0.5388	0.6532	0.6498	0.7877	0.1923	0.3091	1.351
correlation	pool	0.3	1.0	0.4	1288	812	683	0.8411	0.5303	0.6505	0.6304	0.8092	0.1894	0.3069	1.311
correlation	pool	0.3	1.0	0.45	1288	783	667	0.8519	0.5179	0.6441	0.6079	0.8286	0.1843	0.3015	1.29
correlation	pool	0.3	1.0	0.5	1288	743	647	0.8708	0.5023	0.6371	0.5769	0.8514	0.1745	0.2897	1.291
correlation	pool	0.3	1.0	0.55	1288	713	633	0.8878	0.4915	0.6327	0.5536	0.8705	0.1713	0.2862	1.288
correlation	pool	0.3	1.0	0.6	1288	686	616	0.898	0.4783	0.6241	0.5326	0.8814	0.1673	0.2813	1.289
correlation	pool	0.3	1.0	0.65	1288	658	604	0.9179	0.4689	0.6208	0.5109	0.9006	0.1654	0.2795	1.289
correlation	pool	0.3	1.0	0.7	1288	626	586	0.9361	0.455	0.6123	0.486	0.9193	0.1601	0.2728	1.281
correlation	pool	0.3	1.0	0.75	1288	605	575	0.9504	0.4464	0.6075	0.4697	0.9347	0.1574	0.2695	1.277
correlation	pool	0.3	1.0	0.8	1288	580	561	0.9672	0.4356	0.6006	0.4503	0.9537	0.1527	0.2633	1.262
correlation	pool	0.3	1.0	0.85	1288	558	549	0.9839	0.4262	0.5948	0.4332	0.9706	0.1497	0.2594	1.261
correlation	pool	0.3	1.0	0.9	1288	534	531	0.9944	0.4123	0.5829	0.4146	0.9818	0.1447	0.2522	1.239
correlation	pool	0.35	1.0	0.0	1288	851	847	0.9953	0.6576	0.792	0.6607	0.5939	0.2477	0.3496	6.678
correlation	pool	0.35	1.0	0.05	1288	850	824	0.9694	0.6398	0.7708	0.6599	0.6564	0.23	0.3407	3.877
correlation	pool	0.35	1.0	0.1	1288	849	784	0.9234	0.6087	0.7337	0.6592	0.6999	0.2139	0.3276	2.55
correlation	pool	0.35	1.0	0.15	1288	841	722	0.8585	0.5606	0.6783	0.653	0.7068	0.1992	0.3108	2.009
correlation	pool	0.35	1.0	0.2	1288	820	685	0.8354	0.5318	0.6499	0.6366	0.7335	0.187	0.2981	1.654
correlation	pool	0.35	1.0	0.25	1288	798	651	0.8158	0.5054	0.6242	0.6196	0.7403	0.178	0.287	1.498
correlation	pool	0.35	1.0	0.3	1288	763	629	0.8244	0.4884	0.6134	0.5924	0.7721	0.1706	0.2795	1.405
correlation	pool	0.35	1.0	0.35	1288	732	608	0.8306	0.472	0.602	0.5683	0.7929	0.1668	0.2756	1.336
correlation	pool	0.35	1.0	0.4	1288	710	600	0.8451	0.4658	0.6006	0.5512	0.816	0.1644	0.2737	1.304
correlation	pool	0.35	1.0	0.45	1288	683	585	0.8565	0.4542	0.5936	0.5303	0.8335	0.1593	0.2675	1.292
correlation	pool	0.35	1.0	0.5	1288	653	570	0.8729	0.4425	0.5873	0.507	0.8538	0.1525	0.2588	1.29
correlation	pool	0.35	1.0	0.55	1288	626	558	0.8914	0.4332	0.5831	0.486	0.8741	0.1495	0.2553	1.287
correlation	pool	0.35	1.0	0.6	1288	603	544	0.9022	0.4224	0.5754	0.4682	0.8858	0.1466	0.2516	1.288
correlation	pool	0.35	1.0	0.65	1288	579	534	0.9223	0.4146	0.572	0.4495	0.9052	0.1452	0.2502	1.286
correlation	pool	0.35	1.0	0.7	1288	552	517	0.9366	0.4014	0.562	0.4286	0.9203	0.1401	0.2432	1.28
correlation	pool	0.35	1.0	0.75	1288	533	508	0.9531	0.3944	0.5579	0.4138	0.938	0.1384	0.2412	1.275
correlation	pool	0.35	1.0	0.8	1288	512	497	0.9707	0.3859	0.5522	0.3975	0.9583	0.1343	0.2356	1.263
correlation	pool	0.35	1.0	0.85	1288	492	486	0.9878	0.3773	0.5461	0.382	0.9758	0.1316	0.232	1.262
correlation	pool	0.35	1.0	0.9	1288	473	471	0.9958	0.3657	0.5349	0.3672	0.9847	0.1274	0.2257	1.234
correlation	pool	0.4	1.0	0.0	1288	851	847	0.9953	0.6576	0.792	0.6607	0.5939	0.2477	0.3496	6.678
correlation	pool	0.4	1.0	0.05	1288	850	824	0.9694	0.6398	0.7708	0.6599	0.6564	0.23	0.3407	3.877
correlation	pool	0.4	1.0	0.1	1288	849	784	0.9234	0.6087	0.7337	0.6592	0.6999	0.2139	0.3276	2.55
correlation	pool	0.4	1.0	0.15	1288	841	722	0.8585	0.5606	0.6783	0.653	0.7068	0.1992	0.3108	2.009
correlation	pool	0.4	1.0	0.2	1288	820	685	0.8354	0.5318	0.6499	0.6366	0.7335	0.187	0.2981	1.654
correlation	pool	0.4	1.0	0.25	1288	798	651	0.8158	0.5054	0.6242	0.6196	0.7403	0.178	0.287	1.498
correlation	pool	0.4	1.0	0.3	1288	763	629	0.8244	0.4884	0.6134	0.5924	0.7721	0.1706	0.2795	1.405
correlation	pool	0.4	1.0	0.35	1288	732	608	0.8306	0.472	0.602	0.5683	0.7929	0.1668	0.2756	1.336
correlation	pool	0.4	1.0	0.4	1288	710	600	0.8451	0.4658	0.6006	0.5512	0.816	0.1644	0.2737	1.304
correlation	pool	0.4	1.0	0.45	1288	683	585	0.8565	0.4542	0.5936	0.5303	0.8335	0.1593	0.2675	1.292
correlation	pool	0.4	1.0	0.5	1288	653	570	0.8729	0.4425	0.5873	0.507	0.8538	0.1525	0.2588	1.29
correlation	pool	0.4	1.0	0.55	1288	626	558	0.8914	0.4332	0.5831	0.486	0.8741	0.1495	0.2553	1.287
correlation	pool	0.4	1.0	0.6	1288	603	544	0.9022	0.4224	0.5754	0.4682	0.8858	0.1466	0.2516	1.288
correlation	pool	0.4	1.0	0.65	1288	579	534	0.9223	0.4146	0.572	0.4495	0.9052	0.1452	0.2502	1.286
correlation	pool	0.4	1.0	0.7	1288	552	517	0.9366	0.4014	0.562	0.4286	0.9203	0.1401	0.2432	1.28
correlation	pool	0.4	1.0	0.75	1288	533	508	0.9531	0.3944	0.5579	0.4138	0.938	0.1384	0.2412	1.275
correlation	pool	0.4	1.0	0.8	1288	512	497	0.9707	0.3859	0.5522	0.3975	0.9583	0.1343	0.2356	1.263
correlation	pool	0.4	1.0	0.85	1288	492	486	0.9878	0.3773	0.5461	0.382	0.9758	0.1316	0.232	1.262
correlation	pool	0.4	1.0	0.9	1288	473	471	0.9958	0.3657	0.5349	0.3672	0.9847	0.1274	0.2257	1.234
correlation	pool	0.45	1.0	0.0	1288	851	847	0.9953	0.6576	0.792	0.6607	0.5939	0.2477	0.3496	6.678
correlation	pool	0.45	1.0	0.05	1288	850	824	0.9694	0.6398	0.7708	0.6599	0.6564	0.23	0.3407	3.877
correlation	pool	0.45	1.0	0.1	1288	849	784	0.9234	0.6087	0.7337	0.6592	0.6999	0.2139	0.3276	2.55
correlation	pool	0.45	1.0	0.15	1288	841	722	0.8585	0.5606	0.6783	0.653	0.7068	0.1992	0.3108	2.009
correlation	pool	0.45	1.0	0.2	1288	820	685	0.8354	0.5318	0.6499	0.6366	0.7335	0.187	0.2981	1.654
correlation	pool	0.45	1.0	0.25	1288	798	651	0.8158	0.5054	0.6242	0.6196	0.7403	0.178	0.287	1.498
correlation	pool	0.45	1.0	0.3	1288	763	629	0.8244	0.4884	0.6134	0.5924	0.7721	0.1706	0.2795	1.405
correlation	pool	0.45	1.0	0.35	1288	732	608	0.8306	0.472	0.602	0.5683	0.7929	0.1668	0.2756	1.336
correlation	pool	0.45	1.0	0.4	1288	710	600	0.8451	0.4658	0.6006	0.5512	0.816	0.1644	0.2737	1.304
correlation	pool	0.45	1.0	0.45	1288	683	585	0.8565	0.4542	0.5936	0.5303	0.8335	0.1593	0.2675	1.292
correlation	pool	0.45	1.0	0.5	1288	653	570	0.8729	0.4425	0.5873	0.507	0.8538	0.1525	0.2588	1.29
correlation	pool	0.45	1.0	0.55	1288	626	558	0.8914	0.4332	0.5831	0.486	0.8741	0.1495	0.2553	1.287
correlation	pool	0.45	1.0	0.6	1288	603	544	0.9022	0.4224	0.5754	0.4682	0.8858	0.1466	0.2516	1.288
correlation	pool	0.45	1.0	0.65	1288	579	534	0.9223	0.4146	0.572	0.4495	0.9052	0.1452	0.2502	1.286
correlation	pool	0.45	1.0	0.7	1288	552	517	0.9366	0.4014	0.562	0.4286	0.9203	0.1401	0.2432	1.28
correlation	pool	0.45	1.0	0.75	1288	533	508	0.9531	0.3944	0.5579	0.4138	0.938	0.1384	0.2412	1.275
correlation	pool	0.45	1.0	0.8	1288	512	497	0.9707	0.3859	0.5522	0.3975	0.9583	0.1343	0.2356	1.263
correlation	pool	0.45	1.0	0.85	1288	492	486	0.9878	0.3773	0.5461	0.382	0.9758	0.1316	0.232	1.262
correlation	pool	0.45	1.0	0.9	1288	473	471	0.9958	0.3657	0.5349	0.3672	0.9847	0.1274	0.2257	1.234
correlation	pool	0.5	1.0	0.0	1288	685	681	0.9942	0.5287	0.6903	0.5318	0.6054	0.1985	0.299	6.666
correlation	pool	0.5	1.0	0.05	1288	684	666	0.9737	0.5171	0.6755	0.5311	0.6682	0.1854	0.2903	3.855
correlation	pool	0.5	1.0	0.1	1288	683	632	0.9253	0.4907	0.6413	0.5303	0.7103	0.1711	0.2758	2.524
correlation	pool	0.5	1.0	0.15	1288	676	586	0.8669	0.455	0.5967	0.5248	0.7208	0.1626	0.2653	1.973
correlation	pool	0.5	1.0	0.2	1288	659	554	0.8407	0.4301	0.5691	0.5116	0.7459	0.1526	0.2534	1.611
correlation	pool	0.5	1.0	0.25	1288	647	529	0.8176	0.4107	0.5468	0.5023	0.7484	0.146	0.2443	1.456
correlation	pool	0.5	1.0	0.3	1288	618	511	0.8269	0.3967	0.5362	0.4798	0.7789	0.1399	0.2371	1.364
correlation	pool	0.5	1.0	0.35	1288	593	496	0.8364	0.3851	0.5274	0.4604	0.8032	0.1369	0.2339	1.322
correlation	pool	0.5	1.0	0.4	1288	573	489	0.8534	0.3797	0.5255	0.4449	0.8286	0.1356	0.2331	1.301
correlation	pool	0.5	1.0	0.45	1288	552	477	0.8641	0.3703	0.5185	0.4286	0.8465	0.1318	0.228	1.289
correlation	pool	0.5	1.0	0.5	1288	532	468	0.8797	0.3634	0.5143	0.413	0.8661	0.1278	0.2227	1.289
correlation	pool	0.5	1.0	0.55	1288	513	461	0.8986	0.3579	0.5119	0.3983	0.886	0.126	0.2206	1.282
correlation	pool	0.5	1.0	0.6	1288	495	450	0.9091	0.3494	0.5048	0.3843	0.896	0.1236	0.2172	1.284
correlation	pool	0.5	1.0	0.65	1288	475	442	0.9305	0.3432	0.5014	0.3688	0.9168	0.1224	0.216	1.282
correlation	pool	0.5	1.0	0.7	1288	452	428	0.9469	0.3323	0.492	0.3509	0.9325	0.1181	0.2097	1.274
correlation	pool	0.5	1.0	0.75	1288	441	421	0.9546	0.3269	0.487	0.3424	0.9399	0.1167	0.2076	1.274
correlation	pool	0.5	1.0	0.8	1288	422	411	0.9739	0.3191	0.4807	0.3276	0.9612	0.1131	0.2024	1.262
correlation	pool	0.5	1.0	0.85	1288	407	402	0.9877	0.3121	0.4743	0.316	0.9745	0.1113	0.1997	1.27
