metric	condition	nn_min	tau	k_max	floor	n_abstained	mean_admitted	n_calls	calls_per_speaking_orf	n_adjudicable	n_fired	n_correct	precision	recall	f1	coverage	mnxr_macro_precision	mnxr_macro_recall	mnxr_macro_f1	mnxr_mean_pred_size
cosine	pool	0.0	0.0	5	0.0	0	5.0	3097	2.405	1288	1281	1087	0.8486	0.8439	0.8462	0.9946	0.6863	0.3095	0.4266	2.405
cosine	pool	0.0	0.0	5	0.05	0	5.0	3097	2.405	1288	1281	1087	0.8486	0.8439	0.8462	0.9946	0.6863	0.3095	0.4266	2.405
cosine	pool	0.0	0.0	5	0.1	0	5.0	3097	2.405	1288	1281	1087	0.8486	0.8439	0.8462	0.9946	0.6863	0.3095	0.4266	2.405
cosine	pool	0.0	0.0	5	0.2	0	5.0	2326	1.806	1288	1278	1087	0.8505	0.8439	0.8472	0.9922	0.752	0.307	0.436	1.806
cosine	pool	0.0	0.0	5	0.3	0	5.0	1941	1.526	1288	1259	1023	0.8125	0.7943	0.8033	0.9775	0.7497	0.2806	0.4084	1.526
cosine	pool	0.0	0.0	5	0.5	0	5.0	1540	1.325	1288	1147	949	0.8274	0.7368	0.7795	0.8905	0.7985	0.2583	0.3903	1.325
cosine	pool	0.0	0.0	10	0.0	0	10.0	4650	3.61	1288	1284	1087	0.8466	0.8439	0.8453	0.9969	0.6128	0.3135	0.4148	3.61
cosine	pool	0.0	0.0	10	0.05	0	10.0	4650	3.61	1288	1284	1087	0.8466	0.8439	0.8453	0.9969	0.6128	0.3135	0.4148	3.61
cosine	pool	0.0	0.0	10	0.1	0	10.0	3223	2.502	1288	1282	1087	0.8479	0.8439	0.8459	0.9953	0.6678	0.3105	0.4239	2.502
cosine	pool	0.0	0.0	10	0.2	0	10.0	2326	1.82	1288	1266	1031	0.8144	0.8005	0.8074	0.9829	0.7064	0.2832	0.4043	1.82
cosine	pool	0.0	0.0	10	0.3	0	10.0	1823	1.492	1288	1208	960	0.7947	0.7453	0.7692	0.9379	0.7338	0.2607	0.3848	1.492
cosine	pool	0.0	0.0	10	0.5	0	10.0	1407	1.311	1288	1059	857	0.8093	0.6654	0.7303	0.8222	0.7817	0.2322	0.358	1.311
cosine	pool	0.0	0.0	30	0.0	0	30.0	9325	7.24	1288	1287	1088	0.8454	0.8447	0.845	0.9992	0.4921	0.3181	0.3864	7.24
cosine	pool	0.0	0.0	30	0.05	0	30.0	5275	4.095	1288	1284	1055	0.8217	0.8191	0.8204	0.9969	0.5435	0.2948	0.3823	4.095
cosine	pool	0.0	0.0	30	0.1	0	30.0	3398	2.638	1288	1282	995	0.7761	0.7725	0.7743	0.9953	0.5822	0.2726	0.3713	2.638
cosine	pool	0.0	0.0	30	0.2	0	30.0	2156	1.737	1288	1226	871	0.7104	0.6762	0.6929	0.9519	0.6093	0.2371	0.3414	1.737
cosine	pool	0.0	0.0	30	0.3	0	30.0	1632	1.419	1288	1131	799	0.7065	0.6203	0.6606	0.8781	0.6482	0.2157	0.3236	1.419
cosine	pool	0.0	0.0	30	0.5	0	30.0	1238	1.278	1288	953	720	0.7555	0.559	0.6426	0.7399	0.7282	0.1917	0.3035	1.278
cosine	pool	0.0	0.9	5	0.0	0	4.1	2406	1.868	1288	1277	1087	0.8512	0.8439	0.8476	0.9915	0.7857	0.3076	0.4421	1.868
cosine	pool	0.0	0.9	5	0.05	0	4.1	2406	1.868	1288	1277	1087	0.8512	0.8439	0.8476	0.9915	0.7857	0.3076	0.4421	1.868
cosine	pool	0.0	0.9	5	0.1	0	4.1	2406	1.868	1288	1277	1087	0.8512	0.8439	0.8476	0.9915	0.7857	0.3076	0.4421	1.868
cosine	pool	0.0	0.9	5	0.2	0	4.1	2154	1.672	1288	1276	1087	0.8519	0.8439	0.8479	0.9907	0.7948	0.3071	0.4431	1.672
cosine	pool	0.0	0.9	5	0.3	0	4.1	1904	1.484	1288	1270	1079	0.8496	0.8377	0.8436	0.986	0.8061	0.3009	0.4382	1.484
cosine	pool	0.0	0.9	5	0.5	0	4.1	1735	1.4	1288	1227	1062	0.8655	0.8245	0.8445	0.9526	0.8341	0.296	0.437	1.4
cosine	pool	0.0	0.9	10	0.0	0	7.22	2731	2.12	1288	1280	1087	0.8492	0.8439	0.8466	0.9938	0.7728	0.3092	0.4417	2.12
cosine	pool	0.0	0.9	10	0.05	0	7.22	2731	2.12	1288	1280	1087	0.8492	0.8439	0.8466	0.9938	0.7728	0.3092	0.4417	2.12
cosine	pool	0.0	0.9	10	0.1	0	7.22	2462	1.911	1288	1278	1087	0.8505	0.8439	0.8472	0.9922	0.7801	0.3088	0.4424	1.911
cosine	pool	0.0	0.9	10	0.2	0	7.22	2068	1.608	1288	1275	1082	0.8486	0.8401	0.8443	0.9899	0.796	0.3037	0.4397	1.608
cosine	pool	0.0	0.9	10	0.3	0	7.22	1888	1.487	1288	1257	1073	0.8536	0.8331	0.8432	0.9759	0.8096	0.2988	0.4365	1.487
cosine	pool	0.0	0.9	10	0.5	0	7.22	1722	1.398	1288	1220	1058	0.8672	0.8214	0.8437	0.9472	0.8361	0.2949	0.436	1.398
cosine	pool	0.0	0.9	30	0.0	0	17.17	3213	2.495	1288	1282	1088	0.8487	0.8447	0.8467	0.9953	0.7601	0.3113	0.4417	2.495
cosine	pool	0.0	0.9	30	0.05	0	17.17	2705	2.1	1288	1279	1087	0.8499	0.8439	0.8469	0.993	0.7735	0.307	0.4395	2.1
cosine	pool	0.0	0.9	30	0.1	0	17.17	2377	1.845	1288	1279	1083	0.8468	0.8408	0.8438	0.993	0.779	0.3048	0.4382	1.845
cosine	pool	0.0	0.9	30	0.2	0	17.17	2087	1.63	1288	1268	1074	0.847	0.8339	0.8404	0.9845	0.79	0.3023	0.4373	1.63
cosine	pool	0.0	0.9	30	0.3	0	17.17	1874	1.484	1288	1247	1062	0.8516	0.8245	0.8379	0.9682	0.8044	0.2964	0.4331	1.484
