metric	condition	nn_quantile	nn_threshold	floor	n_adjudicable	n_fired	n_correct	precision	recall	f1	coverage	mnxr_macro_precision	mnxr_macro_recall	mnxr_macro_f1	mnxr_mean_pred_size
euclidean	pool	0.0	1.1075	0.0	1288	1286	1075	0.8359	0.8346	0.8353	0.9984	0.4719	0.315	0.3778	8.481
euclidean	pool	0.0	1.1075	0.05	1288	1282	1039	0.8105	0.8067	0.8086	0.9953	0.5289	0.2915	0.3759	4.439
euclidean	pool	0.0	1.1075	0.1	1288	1277	981	0.7682	0.7616	0.7649	0.9915	0.5755	0.2716	0.3691	2.744
euclidean	pool	0.0	1.1075	0.15	1288	1249	907	0.7262	0.7042	0.715	0.9697	0.5914	0.2497	0.3512	2.071
euclidean	pool	0.0	1.1075	0.2	1288	1207	864	0.7158	0.6708	0.6926	0.9371	0.6174	0.2351	0.3406	1.728
euclidean	pool	0.0	1.1075	0.25	1288	1158	818	0.7064	0.6351	0.6688	0.8991	0.6369	0.2221	0.3293	1.529
euclidean	pool	0.0	1.1075	0.3	1288	1104	787	0.7129	0.611	0.658	0.8571	0.6602	0.2126	0.3216	1.421
euclidean	pool	0.0	1.1075	0.35	1288	1064	766	0.7199	0.5947	0.6514	0.8261	0.6782	0.2085	0.3189	1.373
euclidean	pool	0.0	1.1075	0.4	1288	1004	745	0.742	0.5784	0.6501	0.7795	0.7088	0.202	0.3144	1.328
euclidean	pool	0.0	1.1075	0.45	1288	969	730	0.7534	0.5668	0.6469	0.7523	0.7228	0.1989	0.3119	1.314
euclidean	pool	0.0	1.1075	0.5	1288	923	709	0.7681	0.5505	0.6413	0.7166	0.744	0.1881	0.3003	1.304
euclidean	pool	0.0	1.1075	0.55	1288	871	695	0.7979	0.5396	0.6438	0.6762	0.7746	0.1848	0.2985	1.306
euclidean	pool	0.0	1.1075	0.6	1288	830	676	0.8145	0.5248	0.6383	0.6444	0.7936	0.1806	0.2942	1.295
euclidean	pool	0.0	1.1075	0.65	1288	796	659	0.8279	0.5116	0.6324	0.618	0.8071	0.1775	0.291	1.292
euclidean	pool	0.0	1.1075	0.7	1288	753	639	0.8486	0.4961	0.6262	0.5846	0.8276	0.1735	0.2869	1.285
euclidean	pool	0.0	1.1075	0.75	1288	714	622	0.8711	0.4829	0.6214	0.5543	0.8518	0.1679	0.2804	1.279
euclidean	pool	0.0	1.1075	0.8	1288	673	601	0.893	0.4666	0.613	0.5225	0.8748	0.1625	0.274	1.272
euclidean	pool	0.0	1.1075	0.85	1288	637	590	0.9262	0.4581	0.613	0.4946	0.9076	0.1584	0.2697	1.275
euclidean	pool	0.0	1.1075	0.9	1288	597	569	0.9531	0.4418	0.6037	0.4635	0.9341	0.1546	0.2653	1.25
euclidean	pool	0.05	3.3813	0.0	1288	1221	1073	0.8788	0.8331	0.8553	0.948	0.4965	0.3142	0.3848	8.272
euclidean	pool	0.05	3.3813	0.05	1288	1217	1038	0.8529	0.8059	0.8287	0.9449	0.5566	0.2911	0.3823	4.427
euclidean	pool	0.05	3.3813	0.1	1288	1213	980	0.8079	0.7609	0.7837	0.9418	0.6057	0.2712	0.3747	2.745
euclidean	pool	0.05	3.3813	0.15	1288	1189	906	0.762	0.7034	0.7315	0.9231	0.6219	0.2494	0.356	2.075
