metric	condition	nn_quantile	nn_threshold	floor	n_adjudicable	n_fired	n_correct	precision	recall	f1	coverage	mnxr_macro_precision	mnxr_macro_recall	mnxr_macro_f1	mnxr_mean_pred_size
whiten	pool	0.0	0.2226	0.0	1288	1285	1074	0.8358	0.8339	0.8348	0.9977	0.4824	0.3144	0.3807	7.945
whiten	pool	0.0	0.2226	0.05	1288	1284	1042	0.8115	0.809	0.8103	0.9969	0.5344	0.2923	0.3779	4.349
whiten	pool	0.0	0.2226	0.1	1288	1276	981	0.7688	0.7616	0.7652	0.9907	0.5731	0.2708	0.3678	2.785
whiten	pool	0.0	0.2226	0.15	1288	1257	912	0.7255	0.7081	0.7167	0.9759	0.5909	0.2506	0.352	2.088
whiten	pool	0.0	0.2226	0.2	1288	1216	868	0.7138	0.6739	0.6933	0.9441	0.6156	0.2374	0.3426	1.72
whiten	pool	0.0	0.2226	0.25	1288	1170	826	0.706	0.6413	0.6721	0.9084	0.6322	0.2266	0.3336	1.527
whiten	pool	0.0	0.2226	0.3	1288	1118	798	0.7138	0.6196	0.6633	0.868	0.6563	0.2158	0.3248	1.408
whiten	pool	0.0	0.2226	0.35	1288	1069	772	0.7222	0.5994	0.6551	0.83	0.6746	0.2107	0.3211	1.355
whiten	pool	0.0	0.2226	0.4	1288	1019	761	0.7468	0.5908	0.6597	0.7911	0.7075	0.207	0.3203	1.331
whiten	pool	0.0	0.2226	0.45	1288	981	744	0.7584	0.5776	0.6558	0.7616	0.7241	0.201	0.3146	1.287
whiten	pool	0.0	0.2226	0.5	1288	930	721	0.7753	0.5598	0.6501	0.722	0.7442	0.1919	0.3051	1.27
whiten	pool	0.0	0.2226	0.55	1288	886	700	0.7901	0.5435	0.644	0.6879	0.7597	0.1858	0.2986	1.267
whiten	pool	0.0	0.2226	0.6	1288	836	685	0.8194	0.5318	0.645	0.6491	0.7915	0.1829	0.2972	1.262
whiten	pool	0.0	0.2226	0.65	1288	791	663	0.8382	0.5148	0.6378	0.6141	0.8104	0.1793	0.2937	1.268
whiten	pool	0.0	0.2226	0.7	1288	758	650	0.8575	0.5047	0.6354	0.5885	0.8315	0.1753	0.2896	1.269
whiten	pool	0.0	0.2226	0.75	1288	724	633	0.8743	0.4915	0.6292	0.5621	0.8506	0.17	0.2834	1.263
whiten	pool	0.0	0.2226	0.8	1288	684	616	0.9006	0.4783	0.6247	0.5311	0.8815	0.1656	0.2789	1.256
whiten	pool	0.0	0.2226	0.85	1288	652	605	0.9279	0.4697	0.6237	0.5062	0.9117	0.163	0.2765	1.257
whiten	pool	0.0	0.2226	0.9	1288	615	587	0.9545	0.4557	0.6169	0.4775	0.938	0.1589	0.2718	1.266
whiten	pool	0.05	0.3514	0.0	1288	1220	1071	0.8779	0.8315	0.8541	0.9472	0.5074	0.3134	0.3875	7.626
whiten	pool	0.05	0.3514	0.05	1288	1219	1039	0.8523	0.8067	0.8289	0.9464	0.5617	0.2913	0.3836	4.245
whiten	pool	0.05	0.3514	0.1	1288	1213	978	0.8063	0.7593	0.7821	0.9418	0.602	0.2698	0.3726	2.733
whiten	pool	0.05	0.3514	0.15	1288	1196	909	0.76	0.7057	0.7319	0.9286	0.6206	0.2496	0.356	2.047
