metric	condition	nn_quantile	nn_threshold	floor	n_adjudicable	n_fired	n_correct	precision	recall	f1	coverage	mnxr_macro_precision	mnxr_macro_recall	mnxr_macro_f1	mnxr_mean_pred_size
zscore	pool	0.0	0.2405	0.0	1288	1286	1073	0.8344	0.8331	0.8337	0.9984	0.4852	0.3138	0.3812	7.457
zscore	pool	0.0	0.2405	0.05	1288	1281	1037	0.8095	0.8051	0.8073	0.9946	0.5349	0.2909	0.3769	4.222
zscore	pool	0.0	0.2405	0.1	1288	1280	977	0.7633	0.7585	0.7609	0.9938	0.5699	0.2672	0.3638	2.803
zscore	pool	0.0	0.2405	0.15	1288	1258	904	0.7186	0.7019	0.7101	0.9767	0.5787	0.2482	0.3474	2.134
zscore	pool	0.0	0.2405	0.2	1288	1228	861	0.7011	0.6685	0.6844	0.9534	0.6024	0.2348	0.3379	1.783
zscore	pool	0.0	0.2405	0.25	1288	1185	823	0.6945	0.639	0.6656	0.92	0.6159	0.2248	0.3294	1.583
zscore	pool	0.0	0.2405	0.3	1288	1141	797	0.6985	0.6188	0.6562	0.8859	0.6369	0.2157	0.3223	1.457
zscore	pool	0.0	0.2405	0.35	1288	1093	769	0.7036	0.597	0.6459	0.8486	0.6594	0.2101	0.3187	1.391
zscore	pool	0.0	0.2405	0.4	1288	1048	755	0.7204	0.5862	0.6464	0.8137	0.6797	0.2049	0.3149	1.362
zscore	pool	0.0	0.2405	0.45	1288	1005	734	0.7303	0.5699	0.6402	0.7803	0.6989	0.1995	0.3104	1.315
zscore	pool	0.0	0.2405	0.5	1288	959	717	0.7477	0.5567	0.6382	0.7446	0.7188	0.1912	0.302	1.311
zscore	pool	0.0	0.2405	0.55	1288	909	695	0.7646	0.5396	0.6327	0.7057	0.7379	0.1851	0.296	1.292
zscore	pool	0.0	0.2405	0.6	1288	855	673	0.7871	0.5225	0.6281	0.6638	0.7639	0.1812	0.2929	1.288
zscore	pool	0.0	0.2405	0.65	1288	821	661	0.8051	0.5132	0.6268	0.6374	0.7807	0.179	0.2912	1.284
zscore	pool	0.0	0.2405	0.7	1288	776	641	0.826	0.4977	0.6211	0.6025	0.803	0.1732	0.285	1.281
zscore	pool	0.0	0.2405	0.75	1288	735	626	0.8517	0.486	0.6189	0.5707	0.8319	0.1687	0.2806	1.274
zscore	pool	0.0	0.2405	0.8	1288	694	607	0.8746	0.4713	0.6125	0.5388	0.8571	0.1637	0.2749	1.266
zscore	pool	0.0	0.2405	0.85	1288	665	598	0.8992	0.4643	0.6124	0.5163	0.8821	0.1614	0.2728	1.26
zscore	pool	0.0	0.2405	0.9	1288	628	576	0.9172	0.4472	0.6013	0.4876	0.9022	0.1556	0.2654	1.243
zscore	pool	0.05	0.3944	0.0	1288	1222	1071	0.8764	0.8315	0.8534	0.9488	0.5105	0.3132	0.3882	7.391
zscore	pool	0.05	0.3944	0.05	1288	1218	1035	0.8498	0.8036	0.826	0.9457	0.5625	0.2903	0.383	4.193
zscore	pool	0.05	0.3944	0.1	1288	1217	975	0.8012	0.757	0.7784	0.9449	0.5994	0.2666	0.369	2.784
zscore	pool	0.05	0.3944	0.15	1288	1199	902	0.7523	0.7003	0.7254	0.9309	0.608	0.2476	0.3519	2.117
zscore	pool	0.05	0.3944	0.2	1288	1170	859	0.7342	0.6669	0.6989	0.9084	0.6333	0.2342	0.3419	1.765
zscore	pool	0.05	0.3944	0.25	1288	1132	821	0.7253	0.6374	0.6785	0.8789	0.6458	0.2242	0.3328	1.572
zscore	pool	0.05	0.3944	0.3	1288	1090	795	0.7294	0.6172	0.6686	0.8463	0.6678	0.2151	0.3254	1.455
zscore	pool	0.05	0.3944	0.35	1288	1042	767	0.7361	0.5955	0.6584	0.809	0.6923	0.2095	0.3216	1.388
zscore	pool	0.05	0.3944	0.4	1288	998	754	0.7555	0.5854	0.6597	0.7748	0.715	0.2047	0.3183	1.366
zscore	pool	0.05	0.3944	0.45	1288	962	733	0.762	0.5691	0.6516	0.7469	0.7315	0.1993	0.3132	1.319
zscore	pool	0.05	0.3944	0.5	1288	920	716	0.7783	0.5559	0.6486	0.7143	0.7509	0.1909	0.3044	1.315
