mnxr	stratum	verdict	detail	prompt_tokens	completion_tokens
MNXR157404	control	preserved		3637	323
MNXR173642	control	preserved		3273	160
MNXR112960	control	preserved		3185	209
MNXR189289	control	preserved		3400	170
MNXR123635	control	preserved		3391	291
MNXR200176	control	preserved		3231	214
MNXR164196	control	preserved		3517	224
MNXR206184	control	preserved		3219	170
MNXR172120	control	preserved		3079	191
MNXR181843	control	preserved		3208	205
MNXR107239	control	preserved		3203	179
MNXR169111	control	preserved		3439	169
MNXR182257	control	preserved		3204	201
MNXR153049	control	preserved		3148	206
MNXR132730	control	preserved		3044	160
MNXR123690	control	preserved		3406	227
MNXR131746	control	regressed		2988	299
MNXR175554	control	preserved		3417	169
MNXR173963	control	regressed		3176	360
MNXR116047	control	preserved		3237	146
MNXR194191	control	preserved		3236	194
MNXR120219	control	regressed		3282	241
MNXR171359	control	preserved		3245	128
MNXR167517	control	preserved		3239	156
MNXR182463	control	preserved		3395	329
MNXR179607	control	preserved		3324	170
MNXR115420	control	preserved		3240	194
MNXR166615	control	unscorable		0	0
MNXR177222	control	preserved		2975	166
MNXR102281	control	preserved		3275	265
MNXR94714	control	regressed		3450	190
MNXR137342	control	preserved		3108	175
MNXR176771	control	preserved		3155	132
MNXR194308	control	preserved		3178	233
MNXR176799	control	preserved		3277	252
MNXR198621	control	preserved		3182	137
MNXR166401	control	preserved		2954	150
MNXR170203	control	preserved		3093	154
MNXR204615	control	preserved		3158	171
MNXR185564	control	preserved		3216	239
MNXR152949	control	preserved		3198	200
MNXR187006	control	preserved		3278	220
MNXR110728	control	preserved		3339	192
MNXR198533	control	regressed		3309	234
MNXR201789	control	preserved		3049	187
MNXR192969	control	preserved		3377	186
MNXR95736	control	preserved		3176	190
MNXR110201	control	preserved		3226	212
MNXR197388	control	preserved		3026	153
MNXR114668	control	regressed		3347	258
MNXR196993	control	preserved		3115	162
MNXR146106	control	preserved		3239	161
MNXR149543	control	regressed		3191	229
MNXR196890	control	regressed		3236	330
MNXR162604	control	regressed		3237	287
MNXR169864	control	preserved		3260	165
MNXR200662	control	regressed		3085	162
MNXR122509	control	preserved		3003	161
MNXR169132	control	preserved		3255	168
MNXR173875	control	preserved		3285	247
MNXR119093	control	preserved		3282	271
MNXR187444	control	preserved		3116	236
MNXR200715	control	preserved		3057	168
MNXR206286	control	preserved		3039	185
MNXR174578	control	preserved		3057	168
MNXR185281	control	preserved		3349	201
MNXR193202	control	preserved		3892	183
MNXR147717	control	preserved		3142	165
MNXR181469	control	preserved		3163	171
MNXR200928	control	preserved		3283	146
MNXR144913	control	preserved		3063	201
MNXR122284	control	preserved		3422	192
MNXR167626	control	preserved		3353	193
MNXR203783	control	preserved		3114	189
MNXR133381	control	preserved		3196	185
MNXR162425	control	preserved		3095	168
MNXR191295	control	preserved		3032	156
MNXR203508	control	preserved		3032	168
MNXR130982	control	preserved		3207	179
MNXR204681	control	preserved		3428	152
MNXR187601	control	preserved		2955	188
MNXR110904	control	preserved		3451	272
MNXR167951	control	preserved		3124	193
MNXR118066	control	preserved		3189	182
MNXR175002	control	preserved		3057	172
MNXR114805	control	preserved		3144	221
MNXR117470	control	preserved		3183	195
MNXR122148	control	preserved		3327	190
MNXR105119	control	refused		3167	280
MNXR185373	control	preserved		3176	150
MNXR121809	control	preserved		3794	196
MNXR153302	control	preserved		3173	193
MNXR153056	control	preserved		3211	206
MNXR121017	control	preserved		3182	155
MNXR122423	control	preserved		3277	162
MNXR169045	control	preserved		2961	152
MNXR183236	control	regressed		3086	237
MNXR119805	control	preserved		3318	221
MNXR199518	control	preserved		3163	189
MNXR200651	control	preserved		3599	228
MNXR167524	control	preserved		3154	212
MNXR164845	control	preserved		3283	179
MNXR141390	control	preserved		2971	189
MNXR205401	control	preserved		3211	215
MNXR203255	control	preserved		3247	180
MNXR167134	control	preserved		3233	169
MNXR124031	control	preserved		3057	182
MNXR193876	control	preserved		3057	172
MNXR152865	control	preserved		3036	155
MNXR186495	control	regressed		3416	265
MNXR138201	control	preserved		3280	210
MNXR185546	control	preserved		3010	169
MNXR199919	control	preserved		3172	155
MNXR133044	control	preserved		3247	270
MNXR114891	control	preserved		3169	162
MNXR119114	control	preserved		3157	176
MNXR152963	control	preserved		3185	213
MNXR176325	control	preserved		3368	190
MNXR115911	control	preserved		3328	181
MNXR203369	control	preserved		3159	273
MNXR193955	control	preserved		3512	196
MNXR196929	control	preserved		3365	205
MNXR187010	control	regressed		3073	207
MNXR133473	control	preserved		3222	186
MNXR103383	control	regressed		3212	282
MNXR175676	control	preserved		3367	230
MNXR165129	control	preserved		3342	201
MNXR94922	control	preserved		2963	164
MNXR119747	control	preserved		3323	238
MNXR155156	control	preserved		3057	172
MNXR157518	control	preserved		2987	155
MNXR150597	control	preserved		3233	175
MNXR175805	control	preserved		3323	203
MNXR197673	control	preserved		3455	156
MNXR114064	control	preserved		3238	177
MNXR150738	control	refused		3206	220
MNXR168342	control	preserved		3227	178
MNXR194609	control	preserved		3507	179
MNXR147919	control	preserved		3095	199
MNXR202745	control	preserved		3204	169
MNXR153567	control	preserved		3057	172
MNXR145135	control	preserved		3086	187
MNXR185582	control	preserved		3335	224
MNXR200118	control	preserved		3151	264
MNXR200857	control	preserved		3556	259
MNXR200036	control	preserved		3085	185
MNXR112469	control	preserved		3299	226
MNXR199757	control	preserved		3306	216
MNXR115065	control	preserved		3243	173
MNXR120701	control	preserved		3631	342
MNXR130072	control	preserved		3249	186
MNXR169576	control	regressed		3017	176
MNXR174721	control	preserved		3057	172
MNXR99220	control	unscorable		0	0
MNXR181033	control	regressed		3170	236
MNXR205335	control	preserved		3075	181
MNXR120133	control	preserved		3240	202
MNXR188511	control	regressed		3072	218
MNXR193208	control	preserved		3152	261
MNXR173152	control	preserved		3238	171
MNXR158985	control	preserved		3024	148
MNXR113938	control	preserved		3418	224
MNXR175643	control	preserved		2997	147
MNXR112366	control	regressed		2994	264
MNXR169913	control	preserved		3159	161
MNXR116715	control	preserved		3376	180
MNXR135189	control	preserved		3209	202
MNXR119888	control	preserved		3236	178
MNXR196393	control	regressed		3064	238
MNXR153283	control	refused		3277	284
MNXR202285	control	preserved		3214	205
MNXR105277	control	preserved		3057	172
MNXR206611	control	preserved		3013	178
MNXR120914	control	preserved		2989	226
MNXR193000	control	preserved		3156	174
MNXR193451	control	preserved		3402	220
MNXR116526	control	preserved		3065	161
MNXR120813	control	preserved		3532	291
MNXR202798	control	preserved		3080	177
MNXR153400	control	preserved		2992	154
MNXR163142	control	preserved		3021	141
MNXR198128	control	preserved		3021	162
MNXR182869	control	preserved		3021	165
MNXR123163	control	preserved		3070	182
MNXR181277	control	preserved		3178	196
MNXR158362	control	preserved		3140	217
MNXR182427	control	preserved		3234	159
MNXR151890	control	preserved		3244	202
MNXR196544	control	preserved		3036	152
MNXR148705	control	preserved		3169	232
MNXR168696	control	preserved		3233	164
MNXR121122	control	preserved		3038	160
MNXR190684	control	preserved		3141	261
MNXR158718	control	preserved		3438	217
MNXR185674	control	preserved		3177	210
MNXR202566	control	preserved		3241	155
MNXR182935	control	preserved		3027	170
MNXR149127	control	regressed		3418	251
MNXR166813	control	regressed		3043	162
MNXR196338	control	preserved		3314	206
