mnxm	smiles	mnx_name	element	n_atoms	basis	lane
MNXM1088840	C1C(=O)NC(=O)C1C(=O)O	oxidized coenzyme F420-(gamma-L-Glu)(n)	C	5	LLM curation lane: Preserves the redox-active core of oxidized coenzyme F420. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR168219).	llm
MNXM1088840	C1C(=O)NC(=O)C1C(=O)O	oxidized coenzyme F420-(gamma-L-Glu)(n)	N	1	LLM curation lane: Preserves the redox-active core of oxidized coenzyme F420. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR168219).	llm
MNXM1088898	C1C(=O)NC(=O)C1C(=O)O	reduced coenzyme F420-(gamma-L-Glu)(n)	C	5	LLM curation lane: Preserves the redox-active core of reduced coenzyme F420. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR168219).	llm
MNXM1088898	C1C(=O)NC(=O)C1C(=O)O	reduced coenzyme F420-(gamma-L-Glu)(n)	N	1	LLM curation lane: Preserves the redox-active core of reduced coenzyme F420. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR168219).	llm
MNXM1090010	NC1=NC2=C(N1)N=C(N)N2[C@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O	guanosine(745) in 23S rRNA	C	9	LLM curation lane: Preserves the guanosine core for methylation chemistry. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR168237).	llm
MNXM1090010	NC1=NC2=C(N1)N=C(N)N2[C@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O	guanosine(745) in 23S rRNA	N	6	LLM curation lane: Preserves the guanosine core for methylation chemistry. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR168237).	llm
MNXM1090010	NC1=NC2=C(N1)N=C(N)N2[C@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O	guanosine(745) in 23S rRNA	P	2	LLM curation lane: Preserves the guanosine core for methylation chemistry. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR168237).	llm
MNXM1090011	NC1=NC2=C(N1)N=C(N)N2[C@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1OC	N(1)-methylguanosine(745) in 23S rRNA	C	10	LLM curation lane: Preserves the N(1)-methylguanosine core for methylation chemistry. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR168237).	llm
MNXM1090011	NC1=NC2=C(N1)N=C(N)N2[C@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1OC	N(1)-methylguanosine(745) in 23S rRNA	N	6	LLM curation lane: Preserves the N(1)-methylguanosine core for methylation chemistry. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR168237).	llm
MNXM1090011	NC1=NC2=C(N1)N=C(N)N2[C@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1OC	N(1)-methylguanosine(745) in 23S rRNA	P	2	LLM curation lane: Preserves the N(1)-methylguanosine core for methylation chemistry. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR168237).	llm
MNXM1090071	NC1=NC2=C(N1)N=C(N=C2N)O[C@H]1[C@H](O)[C@@H](O)[C@H](CO)[C@@H]1O	guanosine(9) in tRNA	C	11	LLM curation lane: Free guanosine preserves the base and ribose for methyl transfer. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR168281).	llm
MNXM1090071	NC1=NC2=C(N1)N=C(N=C2N)O[C@H]1[C@H](O)[C@@H](O)[C@H](CO)[C@@H]1O	guanosine(9) in tRNA	N	6	LLM curation lane: Free guanosine preserves the base and ribose for methyl transfer. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR168281).	llm
