name,n,E_max,E_min,E_p50,E_p90,E_p99,spread,auroc,p100,p500,single_top100,multichannel_top100,watch_rank,watch_E
belief (current),7974,1.0,0.04757466659854201,0.06491820971948085,0.30798531929115,0.9505690590665539,21.01959028821962,0.7709547623192049,0.66,0.616,0.0,0.93,881,0.2689414213699951
lam0=-4 lam1=1 tau=0.1,7974,0.9999999999999918,0.018058873131466,0.02571231864640267,0.0975674870410565,0.489485343309169,55.374440737256165,0.7729494650661551,0.67,0.642,0.0,0.96,1376,0.04742587317756678
lam0=-4 lam1=1 tau=0.25,7974,0.9999999999996303,0.018015276589093177,0.0211704139774927,0.05191789756833649,0.26468531342066715,55.50844557141305,0.7709532165589899,0.66,0.616,0.0,0.93,881,0.04742587317756678
lam0=-4 lam1=1 tau=0.5,7974,0.9999999997663009,0.018000743495599086,0.0195871366189537,0.03950257393971067,0.13341516921651397,55.55326089785047,0.7678789683193084,0.64,0.608,0.0,0.92,513,0.04742587317659002
lam0=-4 lam1=1 tau=1,7974,0.9999992856171184,0.017993476783233674,0.018788131585856564,0.028300269637616154,0.06307690641728493,55.575656537313456,0.7650232099256624,0.64,0.554,0.0,0.89,145,0.04742566311516272
lam0=-4 lam1=2 tau=0.1,7974,1.0,0.01813182443535423,0.03663342803046491,0.38957496246938544,0.9804659700870023,55.15164806306838,0.7729484569616671,0.67,0.642,0.0,0.96,1376,0.11920292202211755
lam0=-4 lam1=2 tau=0.25,7974,1.0,0.018044389326111347,0.024904040272261174,0.1406919101909256,0.8761519907402986,55.41888849366258,0.7709548295261708,0.66,0.616,0.0,0.93,881,0.11920292202211755
lam0=-4 lam1=2 tau=0.5,7974,1.0,0.018015288557307774,0.021327464708024938,0.08454239714758635,0.5640982756477702,55.508408695144496,0.7678789683193084,0.64,0.608,0.0,0.92,513,0.11920292201757748
lam0=-4 lam1=2 tau=1,7974,0.9999999999999907,0.01800074648651269,0.019625092646443826,0.044262297935118655,0.19837326389590493,55.553251680381955,0.7650234787535258,0.64,0.554,0.0,0.89,145,0.11920194562530552
lam0=-4 lam1=3 tau=0.1,7974,1.0,0.01820506497243431,0.05194587630830847,0.7902364418685691,0.9996195610815559,54.929768254833306,0.7729516156890629,0.67,0.642,0.0,0.96,1376,0.2689414213699951
