dataset	relpath	url	bytes	md5	drop
reads_2019	ERR3858110/ERR3858110_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/000/ERR3858110/ERR3858110_1.fastq.gz	5337237320	33585e3409932d94349c25a032792159	1
reads_2019	ERR3858110/ERR3858110_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/000/ERR3858110/ERR3858110_2.fastq.gz	5323305254	0ebabca6fdd3c8f1bc57cbf093edb103	1
reads_2019	ERR3858111/ERR3858111_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/001/ERR3858111/ERR3858111_1.fastq.gz	5335684812	5aa2070a25954bfb4733f5b1541b8c7d	1
reads_2019	ERR3858111/ERR3858111_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/001/ERR3858111/ERR3858111_2.fastq.gz	5408887341	924a414ad5708b7021a68edeefe37690	1
reads_2019	ERR3858112/ERR3858112_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/002/ERR3858112/ERR3858112_1.fastq.gz	5136048874	a0754299be11b577bdaac4a78831dc33	1
reads_2019	ERR3858112/ERR3858112_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/002/ERR3858112/ERR3858112_2.fastq.gz	5131831415	7defd41bbc7561ea06888bf0497ca685	1
reads_2019	ERR3858113/ERR3858113_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/003/ERR3858113/ERR3858113_1.fastq.gz	5187906222	c6ad99f0cd7cc540906b698e71ab4a95	1
reads_2019	ERR3858113/ERR3858113_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/003/ERR3858113/ERR3858113_2.fastq.gz	5444601019	6903dd4b05b3089f2c7b129924090e1b	1
reads_2019	ERR3858114/ERR3858114_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/004/ERR3858114/ERR3858114_1.fastq.gz	5069283120	f3710ad7eee368c498c608114cb8f2c0	1
reads_2019	ERR3858114/ERR3858114_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/004/ERR3858114/ERR3858114_2.fastq.gz	5062892538	9a82d35678e952f796de21b9eac27d4b	1
reads_2019	ERR3858115/ERR3858115_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/005/ERR3858115/ERR3858115_1.fastq.gz	5343109966	2b7401155e0595a44874f713f0a48ed8	1
reads_2019	ERR3858115/ERR3858115_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/005/ERR3858115/ERR3858115_2.fastq.gz	5333038971	302b1625c885d7cb73282f0822cbeb59	1
reads_2019	ERR3858116/ERR3858116_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/006/ERR3858116/ERR3858116_1.fastq.gz	5245205113	1451106db11f8e47f3295f3e65b13498	1
reads_2019	ERR3858116/ERR3858116_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/006/ERR3858116/ERR3858116_2.fastq.gz	5225292718	6765138c36bedc1481d900871bb09384	1
reads_2019	ERR3858117/ERR3858117_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/007/ERR3858117/ERR3858117_1.fastq.gz	5428350393	8f619a2e45db1b962e5ea6d4d8620a1a	1
reads_2019	ERR3858117/ERR3858117_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/007/ERR3858117/ERR3858117_2.fastq.gz	5483015616	ee52ce3c6618371d8a0c78fb482c24a1	1
reads_2019	ERR3858118/ERR3858118_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/008/ERR3858118/ERR3858118_1.fastq.gz	5353477393	daa0facccbce08e790a8d30a04bb7902	1
reads_2019	ERR3858118/ERR3858118_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/008/ERR3858118/ERR3858118_2.fastq.gz	5334833220	0d2165c73be4ea2e5383e1ee7bd6af70	1
reads_2019	ERR3858119/ERR3858119_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/009/ERR3858119/ERR3858119_1.fastq.gz	5584909921	e6c1fa0f1020e9eb5f76a091ceabf8e7	1
reads_2019	ERR3858119/ERR3858119_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/009/ERR3858119/ERR3858119_2.fastq.gz	5569655096	4e240b35c1c11904d4b0ff3e0179c72b	1
reads_2019	ERR3858120/ERR3858120_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/000/ERR3858120/ERR3858120_1.fastq.gz	5437760504	57f078f1fa89778d965ab7dedd5216cb	1
reads_2019	ERR3858120/ERR3858120_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/000/ERR3858120/ERR3858120_2.fastq.gz	5506581450	2586df28366c53456139d6969242d9fe	1
reads_2019	ERR3858121/ERR3858121_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/001/ERR3858121/ERR3858121_1.fastq.gz	5393128320	232e416b00dc4923090e9ad1a4d86e8c	1
reads_2019	ERR3858121/ERR3858121_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/001/ERR3858121/ERR3858121_2.fastq.gz	5412456846	af0a261e516ab28b77878dea8a58f9e4	1
reads_2019	ERR3858122/ERR3858122_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/002/ERR3858122/ERR3858122_1.fastq.gz	6770316899	4b6ea2a0998eb3fee48730d6c7082ebf	1
reads_2019	ERR3858122/ERR3858122_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/002/ERR3858122/ERR3858122_2.fastq.gz	7026966738	3ce5f946997f6d715d97a066178ec3f8	1
reads_2019	ERR3858123/ERR3858123_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/003/ERR3858123/ERR3858123_1.fastq.gz	5616152454	a3ee973883d593f82a2bcd35f43bb331	1
reads_2019	ERR3858123/ERR3858123_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/003/ERR3858123/ERR3858123_2.fastq.gz	5602529959	28c96bed4d44d241a7f51ed5fc7e9a41	1
reads_2019	ERR3858124/ERR3858124_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/004/ERR3858124/ERR3858124_1.fastq.gz	5575032472	7e989495aeb699ed1b9945195c4a8ed0	1
reads_2019	ERR3858124/ERR3858124_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/004/ERR3858124/ERR3858124_2.fastq.gz	5543025412	5435695a3e6b213b027db2ad47f732d0	1
reads_2019	ERR3858125/ERR3858125_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/005/ERR3858125/ERR3858125_1.fastq.gz	5707415255	83cdb4c55463a06f3bdfd386ab173a05	1
reads_2019	ERR3858125/ERR3858125_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/005/ERR3858125/ERR3858125_2.fastq.gz	5669379117	5131ea395dd15b517902492b3136e819	1
reads_2019	ERR3858126/ERR3858126_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/006/ERR3858126/ERR3858126_1.fastq.gz	6738616915	cdb01cbf93eff870af36b789b6e65656	1
