dataset	run_accession	sample_accession	sample_alias	run_alias	library_layout	instrument_model	read_count	base_count	n_files	bytes	submitted_names
reads_2019	ERR3858110	SAMEA6512630	H52_1	run_groundwater_aquadiva_nextseq_h52_01_1	PAIRED	NextSeq 500	56783841	17148719982	2	10660542574	H52_0_1_1_R1.fastq.gz;H52_0_1_1_R2.fastq.gz
reads_2019	ERR3858111	SAMEA6512631	H52_2	run_groundwater_aquadiva_nextseq_h52_01_2	PAIRED	NextSeq 500	56709856	17126376512	2	10744572153	H52_0_1_2_R1.fastq.gz;H52_0_1_2_R2.fastq.gz
reads_2019	ERR3858112	SAMEA6512632	H52_3	run_groundwater_aquadiva_nextseq_h52_01_3	PAIRED	NextSeq 500	54837481	16560919262	2	10267880289	H52_0_1_3_R1.fastq.gz;H52_0_1_3_R2.fastq.gz
reads_2019	ERR3858113	SAMEA6512633	H51_1	run_groundwater_aquadiva_nextseq_h51_01_1	PAIRED	NextSeq 500	54902518	16580560436	2	10632507241	H51_0_1_1_R1.fastq.gz;H51_0_1_1_R2.fastq.gz
reads_2019	ERR3858114	SAMEA6512634	H51_2	run_groundwater_aquadiva_nextseq_h51_01_2	PAIRED	NextSeq 500	54317859	16403993418	2	10132175658	H51_0_1_2_R1.fastq.gz;H51_0_1_2_R2.fastq.gz
reads_2019	ERR3858115	SAMEA6512635	H51_3	run_groundwater_aquadiva_nextseq_h51_01_3	PAIRED	NextSeq 500	57332497	17314414094	2	10676148937	H51_0_1_3_R1.fastq.gz;H51_0_1_3_R2.fastq.gz
reads_2019	ERR3858116	SAMEA6512636	H43_1	run_groundwater_aquadiva_nextseq_h43_01_1	PAIRED	NextSeq 500	55838179	16863130058	2	10470497831	H43_0_1_1_R1.fastq.gz;H43_0_1_1_R2.fastq.gz
reads_2019	ERR3858117	SAMEA6512637	H43_2	run_groundwater_aquadiva_nextseq_h43_01_2	PAIRED	NextSeq 500	57607006	17397315812	2	10911366009	H43_0_1_2_R1.fastq.gz;H43_0_1_2_R2.fastq.gz
reads_2019	ERR3858118	SAMEA6512638	H43_3	run_groundwater_aquadiva_nextseq_h43_01_3	PAIRED	NextSeq 500	56739974	17135472148	2	10688310613	H43_0_1_3_R1.fastq.gz;H43_0_1_3_R2.fastq.gz
reads_2019	ERR3858119	SAMEA6512639	H41_1	run_groundwater_aquadiva_nextseq_h41_01_1	PAIRED	NextSeq 500	59346021	17922498342	2	11154565017	H41_0_1_1_R1.fastq.gz;H41_0_1_1_R2.fastq.gz
reads_2019	ERR3858120	SAMEA6512640	H41_2	run_groundwater_aquadiva_nextseq_h41_01_2	PAIRED	NextSeq 500	57489986	17361975772	2	10944341954	H41_0_1_2_R1.fastq.gz;H41_0_1_2_R2.fastq.gz
reads_2019	ERR3858121	SAMEA6512641	H41_3	run_groundwater_aquadiva_nextseq_h41_01_3	PAIRED	NextSeq 500	56917858	17189193116	2	10805585166	H41_0_1_3_R1.fastq.gz;H41_0_1_3_R2.fastq.gz
reads_2019	ERR3858122	SAMEA6512642	H32_1	run_groundwater_aquadiva_nextseq_h32_02_1	PAIRED	NextSeq 500	72307644	21836908488	2	13797283637	H32_0_2_1_R1.fastq.gz;H32_0_2_1_R2.fastq.gz
reads_2019	ERR3858123	SAMEA6512643	H14_1	run_groundwater_aquadiva_nextseq_h14_01_1	PAIRED	NextSeq 500	59138401	17859797102	2	11218682413	H14_0_1_1_R1.fastq.gz;H14_0_1_1_R2.fastq.gz
