# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	ncRNA-region	191	310	+	-	122.2	1.2e-21	-	-	-	RFAM:RF00506
contig_1	ncRNA	14090	14167	+	KOIAIB_0001	69.6	4.0e-13	-	-	-	RFAM:RF02031
contig_1	ncRNA	16901	17053	-	KOIAIB_0002	118.4	1.5e-19	-	-	-	RFAM:RF01794
contig_1	ncRNA	29551	29603	+	KOIAIB_0003	87.5	2.8e-15	-	-	-	RFAM:RF02750
contig_1	ncRNA	66610	66675	-	KOIAIB_0004	59.6	3.2e-08	-	-	-	RFAM:RF02564
contig_1	ncRNA	66695	66760	-	KOIAIB_0005	59.6	3.2e-08	-	-	-	RFAM:RF02564
contig_1	ncRNA-region	75511	75610	-	-	65.6	2.1e-10	-	-	-	RFAM:RF00059
contig_1	ncRNA	77367	77593	+	KOIAIB_0006	228.8	5.4e-36	-	-	-	RFAM:RF00534
contig_1	ncRNA-region	83573	83722	-	-	145.9	3.9e-25	-	-	-	RFAM:RF00512
contig_1	ncRNA	105224	105313	+	KOIAIB_0007	105.5	3.7e-17	-	-	-	RFAM:RF02797
contig_1	ncRNA	110960	111029	+	KOIAIB_0008	84.1	4.5e-14	-	-	-	RFAM:RF02057
contig_1	ncRNA	111433	111509	+	KOIAIB_0009	77.9	1.5e-11	-	-	-	RFAM:RF02564
contig_1	ncRNA	111549	111626	+	KOIAIB_0010	78.3	1.2e-11	-	-	-	RFAM:RF02564
contig_1	ncRNA	122901	123014	-	KOIAIB_0011	103.4	1.2e-18	-	-	-	RFAM:RF02030
contig_1	sorf	176552	176617	+	KOIAIB_0012	45.8	6.8e-13	1.0	1.0	1.0	UniRef:UniRef50_P0DPM7
contig_1	ncRNA-region	180844	180889	+	-	77.2	2.1e-13	-	-	-	RFAM:RF02700
contig_1	ncRNA	189760	189846	+	KOIAIB_0013	83.6	2.6e-13	-	-	-	RFAM:RF00127
contig_1	ncRNA	190685	190794	+	KOIAIB_0014	136.3	2.3e-22	-	-	-	RFAM:RF02798
contig_1	ncRNA	216058	216134	+	KOIAIB_0015	92.8	2.8e-14	-	-	-	RFAM:RF02564
contig_1	rRNA	223771	225312	+	KOIAIB_0016	1573.5	1.0e-47	-	-	-	RFAM:RF00177
contig_1	tRNA	225381	225457	+	KOIAIB_0017	75.8	-	-	-	-	-
contig_1	tRNA	225500	225575	+	KOIAIB_0018	78.1	-	-	-	-	-
contig_1	ncRNA	225643	225751	+	KOIAIB_0019	122.0	3.6e-21	-	-	-	RFAM:RF01830
contig_1	rRNA	225759	228662	+	KOIAIB_0020	2876.6	5.2e-06	-	-	-	RFAM:RF02541
contig_1	rRNA	228758	228873	+	KOIAIB_0021	92.6	2.4e-15	-	-	-	RFAM:RF00001
contig_1	tRNA	228928	229004	+	KOIAIB_0022	85.5	-	-	-	-	-
contig_1	tRNA	236931	237007	+	KOIAIB_0023	85.5	-	-	-	-	-
