orf	ec	mnxr	n_ec	n_mnxr
ECDH10B_0002	1.1.1.3;2.7.2.4	MNXR100734;MNXR100735;MNXR115966;MNXR172834;MNXR180457;MNXR180459;MNXR96085	2	7
ECDH10B_0003	2.7.1.39	MNXR100737	1	1
ECDH10B_0004	4.2.3.1	MNXR104846;MNXR146410;MNXR95024	1	3
ECDH10B_0008	2.2.1.2	MNXR112107;MNXR146501;MNXR146502	1	3
ECDH10B_0009	2.7.7.75	MNXR195506;MNXR195507	1	2
ECDH10B_0026	2.7.1.26;2.7.7.2	MNXR173020;MNXR198421;MNXR198422;MNXR198443;MNXR198808;MNXR198809;MNXR198814;MNXR198815	2	8
ECDH10B_0027	6.1.1.5	MNXR115986;MNXR132260;MNXR145292;MNXR145293;MNXR145294;MNXR145295;MNXR165442;MNXR187879;MNXR200412	1	9
ECDH10B_0028	3.4.23.36	MNXR120867;MNXR174475;MNXR187695	1	3
ECDH10B_0029	5.2.1.8	MNXR131225;MNXR148629;MNXR195148	1	3
ECDH10B_0030	1.17.7.4	MNXR109914;MNXR111778;MNXR166356;MNXR166373;MNXR184110;MNXR200499;MNXR200500	1	7
ECDH10B_0032	1.17.1.8	MNXR108727;MNXR134417;MNXR134418;MNXR148597;MNXR148598;MNXR172836;MNXR172837;MNXR172838;MNXR172839;MNXR172840;MNXR172841;MNXR172842;MNXR172843	1	13
ECDH10B_0033	6.3.5.5	MNXR100030;MNXR106966;MNXR114256;MNXR114257;MNXR151606;MNXR180032;MNXR180479;MNXR96485;MNXR96486;MNXR96884	1	10
ECDH10B_0034	6.3.4.16;6.3.5.5	MNXR100030;MNXR106966;MNXR114256;MNXR114257;MNXR133864;MNXR151606;MNXR180032;MNXR180479;MNXR190531;MNXR96485;MNXR96486;MNXR96884	2	12
ECDH10B_0039	2.8.3.21	MNXR151593;MNXR151594;MNXR153270;MNXR153271	1	4
ECDH10B_0040	1.3.8.13	MNXR115786;MNXR163389;MNXR169713	1	3
ECDH10B_0047	1.6.5.2	MNXR101871;MNXR101872;MNXR101876;MNXR101891;MNXR101893;MNXR104922;MNXR104923;MNXR108322;MNXR108448;MNXR109419;MNXR110590;MNXR111019;MNXR111020;MNXR114364;MNXR116079;MNXR116093;MNXR117479;MNXR129914;MNXR130303;MNXR132869;MNXR133773;MNXR134078;MNXR135020;MNXR136518;MNXR143496;MNXR144432;MNXR144731;MNXR144762;MNXR145759;MNXR145766;MNXR168816;MNXR168817;MNXR172482;MNXR172827;MNXR172829;MNXR173518;MNXR175606;MNXR182018;MNXR182019;MNXR182020;MNXR182021;MNXR182022;MNXR182023;MNXR182024;MNXR182025;MNXR182026;MNXR182027;MNXR182028;MNXR182029;MNXR182030;MNXR182031;MNXR182032;MNXR182033;MNXR182034;MNXR182035;MNXR182036;MNXR182037;MNXR182038;MNXR182039;MNXR182040;MNXR182041;MNXR182042;MNXR182043;MNXR182044;MNXR182045;MNXR182046;MNXR182047;MNXR182048;MNXR182049;MNXR182050;MNXR182051;MNXR182052;MNXR182053;MNXR182054;MNXR182055;MNXR182056;MNXR182057;MNXR182058;MNXR182059;MNXR182060;MNXR182061;MNXR182062;MNXR182063;MNXR182064;MNXR182065;MNXR182066;MNXR182067;MNXR182068;MNXR182069;MNXR182070;MNXR182071;MNXR182072;MNXR182073;MNXR182074;MNXR182075;MNXR182076;MNXR182077;MNXR182078;MNXR182079;MNXR182080;MNXR182081;MNXR182082;MNXR182083;MNXR182084;MNXR182085;MNXR182086;MNXR182087;MNXR182418;MNXR182419;MNXR187559;MNXR193930;MNXR193949;MNXR194838;MNXR194839;MNXR194840;MNXR195032;MNXR195033	1	117
ECDH10B_0049	1.5.1.3	MNXR104809;MNXR115841;MNXR129858;MNXR133449;MNXR144498;MNXR144500;MNXR152295;MNXR163478;MNXR163915;MNXR188902;MNXR188918;MNXR190914;MNXR190916;MNXR97399;MNXR97400	1	15
ECDH10B_0050	3.6.1.41	MNXR188157;MNXR190680;MNXR95859	1	3
ECDH10B_0052	2.1.1.182	MNXR114034;MNXR117057;MNXR166032;MNXR176110	1	4
ECDH10B_0053	1.1.1.262	MNXR109761;MNXR109874;MNXR111054	1	3
ECDH10B_0054	5.2.1.8	MNXR131225;MNXR148629;MNXR195148	1	3
ECDH10B_0060	5.4.99.28;5.4.99.29	MNXR117189;MNXR117190;MNXR168182;MNXR168183;MNXR176183	2	5
ECDH10B_0064	2.1.1.199	MNXR117061;MNXR168244	1	2
ECDH10B_0066	3.4.16.4	MNXR115453;MNXR120266;MNXR120273;MNXR129629;MNXR129641;MNXR129668;MNXR131538;MNXR131672;MNXR132042;MNXR132044;MNXR133867;MNXR141472;MNXR141599;MNXR144340;MNXR145562;MNXR145563;MNXR150441;MNXR152192;MNXR152193;MNXR152194;MNXR152195;MNXR152196;MNXR152197;MNXR152198;MNXR152199;MNXR175900;MNXR175978;MNXR175997;MNXR184265;MNXR186459;MNXR196580;MNXR196600;MNXR199405;MNXR199411	1	34
ECDH10B_0067	6.3.2.13	MNXR105013	1	1
ECDH10B_0068	6.3.2.10	MNXR105088;MNXR133841;MNXR133843;MNXR133844;MNXR133856;MNXR146695;MNXR148804;MNXR148841;MNXR151760;MNXR151761;MNXR199423	1	11
ECDH10B_0069	2.7.8.13	MNXR102371;MNXR102372;MNXR116659;MNXR133893;MNXR133894;MNXR133895;MNXR133896;MNXR133897;MNXR133898;MNXR140228;MNXR145901;MNXR145902;MNXR151526;MNXR151527;MNXR151723;MNXR195873;MNXR195874;MNXR195875;MNXR195876;MNXR199424	1	20
ECDH10B_0070	6.3.2.9	MNXR146662	1	1
ECDH10B_0071	2.4.99.28	MNXR166295	1	1
ECDH10B_0072	2.4.1.227	MNXR110049;MNXR116660;MNXR116871;MNXR146659;MNXR146660;MNXR151858;MNXR151859;MNXR178347;MNXR188950;MNXR195294;MNXR197784;MNXR197785;MNXR198180;MNXR198181;MNXR199425;MNXR199429	1	16
ECDH10B_0073	6.3.2.8	MNXR152000	1	1
ECDH10B_0074	6.3.2.4	MNXR105087;MNXR113004;MNXR133838;MNXR133845;MNXR133847;MNXR133849;MNXR133853;MNXR133855;MNXR133858;MNXR133861;MNXR133957;MNXR134001;MNXR134002;MNXR144481;MNXR144483;MNXR190644;MNXR199923	1	17
