qseqid	busco_sseqid	busco_pident	busco_evalue	species_id	taxonomy
NC_000913.3_2	9807458at2_156892_0:000330	34.1	4.1e-6	156892	boudabousia_marimammalium
NC_000913.3_23	9803667at2_83333_0:00003c	100.0	1.1e-177	83333	escherichia_coli_k-12
NC_000913.3_24	9810191at2_1134912_0:000c71	26.9	6.5e-8	1134912	methylocystis_parvus_obbp
NC_000913.3_29	9790352at2_83333_0:00061b	100.0	2.2e-150	83333	escherichia_coli_k-12
NC_000913.3_30	9802219at2_2490858_0:000067	35.8	2.4e-9	2490858	staphylospora_marina
NC_000913.3_49	9814755at2_83333_0:0001e0	100.0	1.5e-154	83333	escherichia_coli_k-12
NC_000913.3_56	9804933at2_148814_2:000445	36.4	1.3e-23	148814	apilactobacillus_kunkeei
NC_000913.3_79	9806637at2_83333_0:000b1e	100.0	3e-175	83333	escherichia_coli_k-12
NC_000913.3_82	9802589at2_2502791_0:000abd	37.4	2.4e-78	2502791	salicibibacter_halophilus
NC_000913.3_83	9802589at2_2502791_0:000abd	25.7	4e-19	2502791	salicibibacter_halophilus
NC_000913.3_85	9809796at2_83333_0:000d7c	100.0	1.6e-251	83333	escherichia_coli_k-12
NC_000913.3_86	9809796at2_2028574_0:00038a	36.6	7e-55	2028574	psittacicella_gerlachiana
NC_000913.3_87	9808936at2_83333_0:0002bd	100.0	2.1e-201	83333	escherichia_coli_k-12
NC_000913.3_88	9808936at2_52770_0:0006e8	40.4	1.3e-79	52770	buchananella_hordeovulneris
NC_000913.3_92	9813375at2_1134687_1:0014f2	98.2	3.1e-206	1134687	klebsiella_michiganensis
NC_000913.3_97	9812943at2_339671_0:0005d6	58.7	2.3e-16	339671	actinobacillus_succinogenes_130z
NC_000913.3_99	9812943at2_83333_0:00100d	100.0	8.4e-110	83333	escherichia_coli_k-12
NC_000913.3_142	9776733at2_555088_0:000991	38.6	6.5e-10	555088	dethiobacter_alkaliphilus_aht_1
NC_000913.3_156	9782003at2_2493082_0:0003f5	49.2	9e-6	2493082	solirhodobacter_olei
NC_000913.3_163	9808036at2_630626_0:000815	98.3	8.3e-133	630626	shimwellia_blattae_dsm_4481_=_nbrc_105725
NC_000913.3_164	9808348at2_83333_0:00070d	100.0	1e-150	83333	escherichia_coli_k-12
NC_000913.3_165	9807458at2_83333_0:0000ba	100.0	1.2e-131	83333	escherichia_coli_k-12
NC_000913.3_166	9804006at2_83333_0:00031d	100.0	4.5e-78	83333	escherichia_coli_k-12
NC_000913.3_171	9782003at2_83333_0:000a9e	100.0	1.4e-258	83333	escherichia_coli_k-12
NC_000913.3_178	9803420at2_83333_0:000c56	100.0	4.5e-108	83333	escherichia_coli_k-12
NC_000913.3_190	9809052at2_83333_0:00105b	100.0	0.0	83333	escherichia_coli_k-12
NC_000913.3_247	9812272at2_1224744_0:000a99	31.8	0.00039	1224744	methylococcus_capsulatus_str._texas_=_atcc_19069
NC_000913.3_391	9804464at2_148814_2:0001c2	35.6	2.7e-32	148814	apilactobacillus_kunkeei
NC_000913.3_428	9767721at2_83333_0:000300	100.0	1.4e-236	83333	escherichia_coli_k-12
NC_000913.3_430	9778364at2_1142394_0:0000e0	30.5	0.00075	1142394	phycisphaera_mikurensis_nbrc_102666
NC_000913.3_431	9778364at2_2316736_0:0003cf	28.8	0.000074	2316736	corallococcus_exercitus
NC_000913.3_461	9778364at2_1541065_0:00162c	27.6	6.2e-26	1541065	myxosarcina_sp._gi1
NC_000913.3_463	9802672at2_551989_0:00052b	98.0	3.7e-110	551989	kosakonia_arachidis
NC_000913.3_475	9806637at2_148814_2:000459	31.5	4.2e-75	148814	apilactobacillus_kunkeei
